Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
desert type aluminum 32 mm 1 inch kit cooler motor,2,2,18,5,5,5,11.1%,40.0%,32 mm - diameter | shaft_diameter | inner_diameter |||| Kit Cooler - mounting_type | mounting | mounting_style | mounting_method |||| Desert Type - usage_application | application | usage | suitable_for |||| Aluminum - material | body_material | material_type | casing_material |||| 1 inch - size | dimension | frame_size,1 inch - size |||| aluminum - winding material |||| cooler - usage |||| desert - cooler type |||| motor - part type,size | usage,1 inch | aluminum,application | body material | casing material | diameter | dimension | frame size | inner diameter | material | material type | mounting | mounting method | mounting style | mounting type | shaft diameter | suitable for | usage application,cooler type | part type | winding material
desert type copper 32 mm 1 cooler motor,0,4,15,5,5,5,0.0%,80.0%,Desert - ambient_temperature | operating_temperature | ambient_temperature_range |||| Copper - insulation_class | insulation_type | winding_insulation |||| 32 mm - diameter | shaft_diameter | inner_diameter |||| 1 - number_of_poles | no_of_poles | poles |||| Cooler - cooling_method | cooling_type | cooling_system,32 mm - shaft thickness |||| cooler - usage |||| copper - winding material |||| desert - cooler type |||| motor - part type,,32 mm | cooler | copper | desert,ambient temperature | ambient temperature range | cooling method | cooling system | cooling type | diameter | inner diameter | insulation class | insulation type | no of poles | number of poles | operating temperature | poles | shaft diameter | winding insulation,cooler type | part type | shaft thickness | usage | winding material
dg geared motor,0,0,8,1,2,1,0.0%,0.0%,DG - brand | company | manufacturer | make |||| Geared Motor - type | motor_type | product_type | device_type,motor - part type,,,brand | company | device type | make | manufacturer | motor type | product type | type,part type
digital dol starter,1,1,6,2,2,2,16.7%,50.0%,Digital - power_source | power_supply | power_type |||| DOL Starter - starter_type | starting_method | starter,digital - display type |||| dol - starter type,starter type,digital,power source | power supply | power type | starter | starting method,display type
dol starter,1,0,4,2,1,2,25.0%,0.0%,DOL Starter - starter_type | starting_method | starter |||| DOL Starter - starting_type | starting_method | starter,dol - starter type |||| starter - feeder type,starter type,,starter | starting method | starting type,feeder type
dol-starter,1,1,4,1,1,1,25.0%,100.0%,DOL-Starter - starter_type | starting_method | starter | starting_type,dol-starter - starter type,starter type,dol-starter,starter | starting method | starting type,
door-motor,0,0,6,0,1,0,0.0%,0.0%,door-motor - power_source | power_supply | power_type |||| door-motor - automation_grade | operation_mode | working_mode,,,,automation grade | operation mode | power source | power supply | power type | working mode,
double shaft encoder gear motor,1,2,7,2,2,2,14.3%,100.0%,Double Shaft - number_of_poles | no_of_poles | poles |||| Gear Motor - type | motor_type | product_type | device_type,double shaft - shaft type |||| gear motor - motor type,motor type,double shaft | gear motor,device type | no of poles | number of poles | poles | product type | type,shaft type
double shaft gear motor,1,1,6,1,2,1,16.7%,50.0%,Double - number_of_shaft | no_of_shaft | shaft_number |||| Gear Motor - type | motor_type | product_type,gear motor - motor type,motor type,gear motor,no of shaft | number of shaft | product type | shaft number | type,
drondch motor,0,0,4,1,1,1,0.0%,0.0%,DRONDCH - brand | company | manufacturer | make,motor - part type,,,brand | company | make | manufacturer,part type
dual shaft 1300RPM BLOWER FAN MOTOR,1,2,7,4,2,4,14.3%,100.0%,1300RPM - speed | rpm | motor_speed | rated_speed |||| Dual Shaft - number_of_poles | no_of_poles | poles,1300rpm - speed |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,speed,1300rpm | dual shaft,motor speed | no of poles | number of poles | poles | rated speed | rpm,part type | shaft type | usage
dual shaft 1330 RPM BLOWER FAN MOTOR,1,2,8,4,2,4,12.5%,100.0%,1330 RPM - speed | rpm | motor_speed | rated_speed |||| Dual Shaft - number_of_poles | no_of_poles | poles | type_of_poles,1330 rpm - speed |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,speed,1330 rpm | dual shaft,motor speed | no of poles | number of poles | poles | rated speed | rpm | type of poles,part type | shaft type | usage
dual shaft FAN MOTOR,0,1,6,2,2,2,0.0%,50.0%,Dual Shaft - number_of_poles | no_of_poles | poles |||| FAN MOTOR - type | motor_type | product_type,dual shaft - shaft type |||| fan - usage,,dual shaft,motor type | no of poles | number of poles | poles | product type | type,shaft type | usage
dual shaft blower fan motor,0,1,6,2,2,2,0.0%,50.0%,Dual Shaft - number_of_poles | no_of_poles | poles |||| Blower Fan Motor - type | motor_type | product_type,dual shaft - shaft type |||| motor - part type,,dual shaft,motor type | no of poles | number of poles | poles | product type | type,part type | shaft type
dvd motor,0,1,8,1,2,1,0.0%,50.0%,DVD - power_source | power_supply | power_type | input_power |||| Motor - usage_application | application | usage | suitable_for,motor - part type,,motor,application | input power | power source | power supply | power type | suitable for | usage | usage application,part type
dwe4235 armature near udaipur,1,2,9,2,3,2,11.1%,66.7%,DWE4235 - model_number | model_name | model | model_no |||| Armature - model_type | model_no | model_name | model |||| Near Udaipur - location | location_type | area | usage_application,armature - type of power tool |||| dwe4235 - model number,model number,armature | dwe4235,area | location | location type | model | model name | model no | model type | usage application,type of power tool
e42 90w 2850/3450rpm motor single phase,0,0,0,4,0,4,N/A,N/A,,2850/3450rpm - speed |||| 90w - power |||| e42 - model name/number |||| single phase - phase,,,,model name/number | phase | power | speed
ecma-ca1010ss delta servo motor,1,2,8,3,2,3,12.5%,100.0%,Delta - brand | company | manufacturer | make |||| ECMA-CA1010SS - model_number | model_name | model | model_no,delta - brand |||| ecma-ca1010ss - model name/number |||| servo motor - product,brand,delta | ecma-ca1010ss,company | make | manufacturer | model | model name | model no | model number,model name/number | product
el%20tech%20motors,0,0,4,1,1,1,0.0%,0.0%,EL TECH MOTORS - brand | company | manufacturer | make,el%20tech%20motors - model number,,,brand | company | make | manufacturer,model number
electric gate motor,1,1,6,2,2,2,16.7%,50.0%,Electric - power_source | power_supply | power_type |||| Automatic - automation_grade | operation_mode | working_mode,electric - power source |||| gate - usage,power source,electric,automation grade | operation mode | power supply | power type | working mode,usage
electric motorized actuator,1,2,6,2,2,2,16.7%,100.0%,Electric - power_source | power_supply | power_type |||| Motorized - material | body_material | material_type,electric - power source |||| motorized - actuator type,power source,electric | motorized,body material | material | material type | power supply | power type,actuator type
electric torque,1,1,7,1,2,1,14.3%,50.0%,Electric - power_source | power_supply | power_type | input_power |||| Torque - torque_type | torque_style | output_torque,electric - power source,power source,electric,input power | output torque | power supply | power type | torque style | torque type,
electric-actuator,1,0,4,1,1,1,25.0%,0.0%,Electric - power_source | power_supply | power_type | input_power,electric-actuator - power source,power source,,input power | power supply | power type,
electrical motor,1,2,7,2,2,2,14.3%,100.0%,Electrical - power_source | power_supply | power_type |||| Motor - usage_application | application | usage | suitable_for,electrical - power source |||| motor - part type,power source,electrical | motor,application | power supply | power type | suitable for | usage | usage application,part type
electrical motor for boats,1,2,8,2,2,2,12.5%,100.0%,Boats - usage_application | application | usage_area | suitable_for |||| Electrical - power_source | power_supply | power_type | power_requirement,boats - usage |||| electrical - power source,power source,boats | electrical,application | power requirement | power supply | power type | suitable for | usage application | usage area,usage
electronic components bo moters,1,2,8,2,2,2,12.5%,100.0%,BO MOTERS - brand | company | manufacturer | make |||| Electronic Components - type | motor_type | product_type | device_type,bo moters - type |||| electronic components - usage,type,bo moters | electronic components,brand | company | device type | make | manufacturer | motor type | product type,usage
electronic-starter,1,1,7,1,1,1,14.3%,100.0%,Electronic-Starter - power_source | power_supply | power_type |||| Electronic-Starter - usage_application | application | usage | suitable_for,electronic-starter - power source,power source,electronic-starter,application | power supply | power type | suitable for | usage | usage application,
eletical motors 40hp,0,1,8,1,2,1,0.0%,50.0%,40HP - horsepower | horse_power | hp | motor_horsepower |||| Electical Motors - power_source | power_supply | power_type | power_requirement,40hp - power,,40hp,horse power | horsepower | hp | motor horsepower | power requirement | power source | power supply | power type,power
external motor rotor die casting,0,1,8,2,2,2,0.0%,50.0%,External Motor Rotor - type | motor_type | product_type | device_type |||| Die Casting - material | body_material | material_type | casing_material,die casting - casting method |||| motor - usage,,die casting,body material | casing material | device type | material | material type | motor type | product type | type,casting method | usage
extra power breaker 1 power tool armature,0,0,11,1,3,1,0.0%,0.0%,Extra Power - power_source | power_supply | power_type | input_power |||| 1 - number_of_poles | no_of_poles | poles |||| Power Tool Armature - usage_application | application | usage | suitable_for,armature - motor part type,,,application | input power | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage | usage application,motor part type
fan motor 25 30 watt,0,0,4,2,1,2,0.0%,0.0%,25 30 Watt - power_source | power_supply | power_type | wattage,30 watt - power |||| fan - usage,,,power source | power supply | power type | wattage,power | usage
fan-motors,0,0,11,0,1,0,0.0%,0.0%,Fan-Motors - power_source | power_supply | power_type | input_power |||| Fan-Motors - number_of_poles | no_of_poles | poles |||| Fan-Motors - usage_application | application | usage | suitable_for,,,,application | input power | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage | usage application,
fcma soft starter,0,1,8,1,2,1,0.0%,50.0%,FCMA - brand | company | manufacturer | make |||| Soft Starter - type | motor_type | product_type | device_type,soft starter - starter type,,soft starter,brand | company | device type | make | manufacturer | motor type | product type | type,starter type
fdhhdfh,0,0,0,0,0,0,N/A,N/A,,,,,,
fhp motors,0,1,4,1,1,1,0.0%,100.0%,FHP - model_number | model_name | model | model_no,fhp - brand,,fhp,model | model name | model no | model number,brand
fireproof motor,0,0,4,1,1,1,0.0%,0.0%,Fireproof - insulation_class | insulation_type | winding_insulation | ambient_temperature,motor - part type,,,ambient temperature | insulation class | insulation type | winding insulation,part type
flange type 25 hp motor,1,1,8,2,2,2,12.5%,50.0%,25 HP - horsepower | horse_power | hp | motor_horsepower |||| Flange Type - mounting_type | mounting | mounting_style | mounting_method,25 hp - power |||| flange - mounting type,mounting type,25 hp,horse power | horsepower | hp | motor horsepower | mounting | mounting method | mounting style,power
fn20c motor,0,1,4,2,1,2,0.0%,100.0%,FN20C - model_number | model_name | model | model_no,fn20c - model name/number |||| motor - part type,,fn20c,model | model name | model no | model number,model name/number | part type
foot cum flange mounted electric motor,2,1,7,2,2,2,28.6%,50.0%,Foot Cum Flange Mounted - mounting_type | mounting | mounting_style | mounting_method |||| Electric - power_source | power_supply | power_type,electric - power source |||| foot cum flange - mounting type,mounting type | power source,electric,mounting | mounting method | mounting style | power supply | power type,
foot mounting 1 piece 1440 rpm Single Phase Motors,3,3,14,4,4,4,21.4%,75.0%,1440 RPM - speed | rpm | motor_speed | rated_speed |||| 1 Piece - number_of_poles | no_of_poles | poles |||| Foot Mounting - mounting_type | mounting | mounting_style | mounting_method |||| Single Phase - phase | phase_type | number_of_phase,1 piece - set contains |||| 1440 rpm - speed |||| foot - mounting type |||| single phase - phase,mounting type | phase | speed,1 piece | 1440 rpm | single phase,motor speed | mounting | mounting method | mounting style | no of poles | number of phase | number of poles | phase type | poles | rated speed | rpm,set contains
fv5029 010,0,1,7,1,2,1,0.0%,50.0%,FV5029 - model_number | model_name | model | model_no |||| 010 - model_type | model_category | model_class,fv5029 - model name/number,,fv5029,model | model category | model class | model name | model no | model number | model type,model name/number
gbru 1 min auto switch,0,1,10,1,3,1,0.0%,33.3%,GBRU - brand | company | manufacturer | make |||| Auto - automation_grade | operation_mode | working_mode |||| 1 min - power_source | power_supply | power_type,1 min - duration,,1 min,automation grade | brand | company | make | manufacturer | operation mode | power source | power supply | power type | working mode,duration
geared motor,0,0,11,1,1,1,0.0%,0.0%,Geared Motor - power_source | power_supply | power_type | input_power |||| Geared Motor - number_of_poles | no_of_poles | poles |||| Geared Motor - usage_application | application | usage | suitable_for,motor - part type,,,application | input power | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage | usage application,part type
geared motors,0,0,6,0,1,0,0.0%,0.0%,Geared Motors - power_source | power_supply | power_type |||| Geared Motors - automation_grade | operation_mode | working_mode,,,,automation grade | operation mode | power source | power supply | power type | working mode,
gearmoter,0,0,4,0,1,0,0.0%,0.0%,GEARMOTER - brand | company | manufacturer | make,,,,brand | company | make | manufacturer,
gec 10 hp 960 rpm industrial motors,2,3,12,4,3,4,16.7%,100.0%,10 HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed |||| GEC - brand | company | manufacturer | make,10 hp - power |||| 960 rpm - speed |||| gec - brand |||| industrial motors - product,brand | speed,10 hp | 960 rpm | gec,company | horse power | horsepower | hp | make | manufacturer | motor horsepower | motor speed | rated speed | rpm,power | product
general electric sfk01,1,2,8,2,2,2,12.5%,100.0%,General Electric - brand | company | manufacturer | make |||| SFK01 - model_number | model_name | model | model_no,general electric - brand |||| sfk01 - model name/number,brand,general electric | sfk01,company | make | manufacturer | model | model name | model no | model number,model name/number
godrej lawkim motor lk 4250,1,1,8,2,2,2,12.5%,50.0%,Godrej Lawkim - brand | company | manufacturer | make |||| LK 4250 - model_number | model_name | model | model_no,godrej - brand |||| lk 4250 - model name/number,brand,lk 4250,company | make | manufacturer | model | model name | model no | model number,model name/number
gpn gear motor,0,0,4,1,1,1,0.0%,0.0%,Gpn - brand | company | manufacturer | make,gear motor - motor type,,,brand | company | make | manufacturer,motor type
grinding-motor,0,0,4,0,1,0,0.0%,0.0%,Grinding-Motor - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
gsm mobile starter,0,0,6,0,2,0,0.0%,0.0%,GSM - power_source | power_supply | power_type |||| Mobile - starter_type | starting_method | starter,,,,power source | power supply | power type | starter | starter type | starting method,
happymodel motor,0,0,4,1,1,1,0.0%,0.0%,Happymodel - brand | company | manufacturer | make,motor - part type,,,brand | company | make | manufacturer,part type
havells motor,1,1,4,2,1,2,25.0%,100.0%,Havells - brand | company | manufacturer | make,havells - brand |||| motor - part type,brand,havells,company | make | manufacturer,part type
havells single phase motor,2,1,8,3,2,3,25.0%,50.0%,HAVELS - brand | phase | company | phase_type | manufacturer | number_of_phase | make | input_phase,havells - brand |||| motor - part type |||| single phase - phase,brand | phase,single phase,company | input phase | make | manufacturer | number of phase | phase type,part type
helical gear motor,1,0,4,1,1,1,25.0%,0.0%,Helical Gear Motor - type | motor_type | product_type | device_type,helical - motor type,motor type,,device type | product type | type,
helical geared motor 2hp,1,1,8,2,2,2,12.5%,50.0%,2HP - horsepower | horse_power | hp | motor_horsepower |||| Helical Geared Motor - type | motor_type | product_type | device_type,2hp - power |||| helical - motor type,motor type,2hp,device type | horse power | horsepower | hp | motor horsepower | product type | type,power
helical geared motor 2hp near hyderabad,1,1,12,2,3,2,8.3%,33.3%,2HP - power_source | power_supply | power_type | power |||| Helical Geared Motor - model_number | model_name | model | model_no |||| Near Hyderabad - location | usage_location | suitable_for | ambient_temperature,2hp - power |||| helical - motor type,power,2hp,ambient temperature | location | model | model name | model no | model number | power source | power supply | power type | suitable for | usage location,motor type
helical-geared-motor,0,0,7,1,2,1,0.0%,0.0%,Helical - type | motor_type | product_type | device_type |||| Geared-Motor - number_of_poles | no_of_poles | poles,helical-geared-motor - gear type,,,device type | motor type | no of poles | number of poles | poles | product type | type,gear type
high power dc motors,0,1,7,1,2,1,0.0%,50.0%,DC - power_source | power_supply | power_type |||| High Power - usage_application | application | usage | suitable_for,dc - motor type,,dc,application | power source | power supply | power type | suitable for | usage | usage application,motor type
high power dc water motors for project near badlapur,0,1,13,1,4,1,0.0%,25.0%,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| High Power - ip_rating | protection_class | degree_of_protection |||| Near Badlapur - ambient_temperature | operating_temperature | temperature_range,dc - motor type,,dc,ambient temperature | application | degree of protection | ip rating | operating temperature | power source | power supply | power type | protection class | suitable for | temperature range | usage | usage application,motor type
high power dc water motors project,0,1,11,1,3,1,0.0%,33.3%,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| High Power - power | wattage | motor_power | power_rating,dc - motor type,,dc,application | motor power | power | power rating | power source | power supply | power type | suitable for | usage | usage application | wattage,motor type
high power mini dc water motors for project near badlapur,0,1,16,1,5,1,0.0%,20.0%,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| Mini - size | dimension | frame_size |||| High Power - ip_rating | protection_class | degree_of_protection |||| Near Badlapur - location | area | suitable_for_location,dc - motor type,,dc,application | area | degree of protection | dimension | frame size | ip rating | location | power source | power supply | power type | protection class | size | suitable for | suitable for location | usage | usage application,motor type
high power mini dc water motors project,0,1,13,1,4,1,0.0%,25.0%,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| Mini - size | dimension | frame_size |||| High Power - weight | item_weight | net_weight,dc - motor type,,dc,application | dimension | frame size | item weight | net weight | power source | power supply | power type | size | suitable for | usage | usage application | weight,motor type
hindustan,1,1,4,1,1,1,25.0%,100.0%,Hindustan - brand | company | manufacturer | make,hindustan - brand,brand,hindustan,company | make | manufacturer,
hindustan ac motor,2,1,8,2,2,2,25.0%,50.0%,Hindustan - brand | company | manufacturer | make |||| AC Motor - type | motor_type | product_type | device_type,ac - type |||| hindustan - brand,brand | type,hindustan,company | device type | make | manufacturer | motor type | product type,
hindustan package,0,2,8,2,2,2,0.0%,100.0%,Hindustan - brand | company | manufacturer | make |||| Package - usage_application | application | usage | suitable_for,hindustan - destination location |||| package - body type,,hindustan | package,application | brand | company | make | manufacturer | suitable for | usage | usage application,body type | destination location
hollow shaft encoder,0,1,4,1,1,1,0.0%,100.0%,Hollow Shaft - type | motor_type | product_type | device_type,hollow shaft - encoder type,,hollow shaft,device type | motor type | product type | type,encoder type
horse power,0,0,4,1,1,1,0.0%,0.0%,Horse Power - horse_power | horse_power_rating | hp | motor_horsepower,horse - animal breed,,,horse power | horse power rating | hp | motor horsepower,animal breed
hyundai/kia clutch actuator,0,1,8,1,2,1,0.0%,50.0%,Hyundai/Kia - brand | company | manufacturer | make |||| Clutch Actuator - type | product_type | device_type | usage_application,clutch actuator - actuator type,,clutch actuator,brand | company | device type | make | manufacturer | product type | type | usage application,actuator type
incubator turning motor,2,2,8,2,2,2,25.0%,100.0%,Turning Motor - type | motor_type | product_type | device_type |||| Incubator - usage_application | application | usage | suitable_for,incubator - usage |||| turning motor - type,type | usage,incubator | turning motor,application | device type | motor type | product type | suitable for | usage application,
induction motor,1,0,4,1,1,1,25.0%,0.0%,Induction Motor - type | motor_type | product_type | device_type,induction - motor type,motor type,,device type | product type | type,
industrial-electric-motor,1,1,7,1,2,1,14.3%,50.0%,Industrial-Electric-Motor - power_source | power_supply | power_type |||| Industrial - usage_application | application | usage | suitable_for,industrial-electric-motor - usage,usage,industrial-electric-motor,application | power source | power supply | power type | suitable for | usage application,
inline helical geared motors,0,0,8,0,2,0,0.0%,0.0%,Helical Geared Motor - type | motor_type | product_type | device_type |||| Inline - mounting_type | mounting | mounting_style | mounting_method,,,,device type | motor type | mounting | mounting method | mounting style | mounting type | product type | type,
kapcon simi cooler motor,1,1,8,2,2,2,12.5%,50.0%,Kapcon - brand | company | manufacturer | make |||| SIMI - model_number | model_name | model | model_no,cooler motor - usage |||| kapcon - brand,brand,kapcon,company | make | manufacturer | model | model name | model no | model number,usage
kenstar desert air cooler motor,2,2,8,4,2,4,25.0%,100.0%,Kenstar - brand | company | manufacturer | make |||| Desert - usage_application | application | usage | suitable_for,cooler - usage |||| desert - cooler type |||| kenstar - brand |||| motor - part type,brand | usage,desert | kenstar,application | company | make | manufacturer | suitable for | usage application,cooler type | part type
kirloskar 10 hp 1440 rpm original motor,2,3,10,3,3,3,20.0%,100.0%,10 HP - power_source | power_supply | power_type |||| 1440 RPM - speed | rpm | motor_speed |||| Kirloskar - brand | company | manufacturer | make,10 hp - power |||| 1440 rpm - speed |||| kirloskar - brand,brand | speed,10 hp | 1440 rpm | kirloskar,company | make | manufacturer | motor speed | power source | power supply | power type | rpm,power
kirloskar electric motor 10 hp 960 rpm,3,2,12,4,3,4,25.0%,66.7%,10 HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed |||| Kirloskar Electric Motor - brand | company | manufacturer | make,10 hp - motor horsepower |||| 960 rpm - speed |||| electric - power source |||| kirloskar - brand,brand | motor horsepower | speed,10 hp | 960 rpm,company | horse power | horsepower | hp | make | manufacturer | motor speed | rated speed | rpm,power source
kitchen hood motor,1,1,8,1,2,1,12.5%,50.0%,Kitchen - usage_application | application | suitable_for | usage |||| Motor - power_source | power_supply | power_type | power_requirement,kitchen - usage,usage,kitchen,application | power requirement | power source | power supply | power type | suitable for | usage application,
kollmorgen servo motors akm63k-anc2r-00,1,2,8,3,2,3,12.5%,100.0%,Kollmorgen - brand | company | manufacturer | make |||| AKM63K-ANC2R-00 - model_number | model_name | model | model_no,akm63k-anc2r-00 - model name/number |||| kollmorgen - brand |||| servo - usage,brand,akm63k-anc2r-00 | kollmorgen,company | make | manufacturer | model | model name | model no | model number,model name/number | usage
l and t mpower pro mobile motor starter,1,1,12,3,3,3,8.3%,33.3%,L & T - brand | company | manufacturer | make |||| Mpower Pro - model_number | model_name | model | model_no |||| Mobile Motor Starter - type | motor_type | product_type | device_type,l and t - brand |||| motor starter - usage |||| mpower pro - model name/number,brand,mpower pro,company | device type | make | manufacturer | model | model name | model no | model number | motor type | product type | type,model name/number | usage
l t mpower pro mobile motor starter,1,0,8,2,2,2,12.5%,0.0%,L T Mpower Pro - brand | company | manufacturer | make |||| Mobile Motor Starter - type | motor_type | product_type | device_type,l t - brand |||| motor starter - usage,brand,,company | device type | make | manufacturer | motor type | product type | type,usage
l&t three phase motor starter,2,2,7,3,2,3,28.6%,100.0%,L&T - brand | company | manufacturer | make |||| Three Phase - number_of_phase | phase | number_of_phase | input_phase,l&t - brand |||| motor starter - usage |||| three phase - phase,brand | phase,l&t | three phase,company | input phase | make | manufacturer | number of phase,usage
laxmi 3 hp singal fase motors,1,2,12,2,3,2,8.3%,66.7%,3 HP - horsepower | horse_power | hp | motor_horsepower |||| Laxmi - brand | company | manufacturer | make |||| Singal Fase - phase | phase_type | number_of_phase | input_phase,3 hp - power |||| laxmi - brand,brand,3 hp | laxmi,company | horse power | horsepower | hp | input phase | make | manufacturer | motor horsepower | number of phase | phase | phase type,power
leadshine l7 series servo ac servo motor,2,1,12,2,3,2,16.7%,33.3%,Leadshine - brand | company | manufacturer | make |||| L7 Series - model_number | model_name | model | model_no |||| AC Servo Motor - type | motor_type | product_type | device_type,ac - motor type |||| leadshine - brand,brand | motor type,leadshine,company | device type | make | manufacturer | model | model name | model no | model number | product type | type,
lift-motor,0,0,4,0,1,0,0.0%,0.0%,Lift-Motor - power_source | power_supply | power_type | input_power,,,,input power | power source | power supply | power type,
lifting-column-actuator,0,0,6,0,1,0,0.0%,0.0%,Lifting-Column-Actuator - type | product_type | device_type | model_number | model_name | model,,,,device type | model | model name | model number | product type | type,
linear 1 festo actuators,1,2,11,2,3,2,9.1%,66.7%,FESTO - brand | company | manufacturer | make |||| 1 - number_of_poles | no_of_poles | poles |||| Linear - type | motor_type | product_type | device_type,1 - model name/number |||| festo - brand,brand,1 | festo,company | device type | make | manufacturer | motor type | no of poles | number of poles | poles | product type | type,model name/number
linear actuator control board,0,0,8,0,2,0,0.0%,0.0%,Linear Actuator - brand | company | manufacturer | make |||| Control Board - type | motor_type | product_type | device_type,,,,brand | company | device type | make | manufacturer | motor type | product type | type,
linear actuator purlin,0,0,8,1,2,1,0.0%,0.0%,Linear Actuator - type | motor_type | product_type | device_type |||| Purlin - mounting_type | mounting | mounting_style | mounting_method,linear - valve motion,,,device type | motor type | mounting | mounting method | mounting style | mounting type | product type | type,valve motion
linear-actuators,0,0,4,0,1,0,0.0%,0.0%,Linear Actuators - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
ll braider soft starer,0,0,10,0,3,0,0.0%,0.0%,LL - brand | company | manufacturer | make |||| Soft Starter - starter_type | starting_method | starter |||| Braider - insulation_class | insulation_type | winding_insulation,,,,brand | company | insulation class | insulation type | make | manufacturer | starter | starter type | starting method | winding insulation,
lt mk1 dol motor starter,1,1,9,2,3,2,11.1%,33.3%,DOL - starter_type | starting_method | starter |||| MK1 - insulation_class | insulation_type | winding_insulation |||| LT - ambient_temperature | operating_temperature | temperature_range,dol - starter type |||| motor starter - usage,starter type,dol,ambient temperature | insulation class | insulation type | operating temperature | starter | starting method | temperature range | winding insulation,usage
lubi three phase induction motors,1,2,7,3,2,3,14.3%,100.0%,Lubi - brand | company | manufacturer | make |||| Three Phase - number_of_poles | no_of_poles | poles,induction - motor type |||| lubi - brand |||| three phase - no of phase,brand,lubi | three phase,company | make | manufacturer | no of poles | number of poles | poles,motor type | no of phase
m9mz90g4yga panasonic gear motor /90watt/ three phase,1,3,16,4,4,4,6.2%,75.0%,Three Phase - power_source | power_supply | power_type | input_power |||| Panasonic - brand | company | manufacturer | make |||| M9MZ90G4YGA - model_number | model_name | model | model_no |||| 90watt/ - power | wattage | motor_power | power_rating,gear motor - motor type |||| m9mz90g4yga - model name/number |||| panasonic - brand |||| three phase - phase,brand,m9mz90g4yga | panasonic | three phase,company | input power | make | manufacturer | model | model name | model no | model number | motor power | power | power rating | power source | power supply | power type | wattage,model name/number | motor type | phase
macwel brand motor,1,1,4,2,1,2,25.0%,100.0%,Macwel - brand | company | manufacturer | make,macwel - brand |||| motor - part type,brand,macwel,company | make | manufacturer,part type
macwell brand motor,1,1,4,2,1,2,25.0%,100.0%,Macwell - brand | company | manufacturer | make,macwell - brand |||| motor - part type,brand,macwell,company | make | manufacturer,part type
makita mt240 cb203a cut off carbon brush,0,1,8,2,2,2,0.0%,50.0%,Makita - brand | company | manufacturer | make |||| MT240 CB203A - model_number | model_name | model | model_no,cut off carbon brush - type |||| mt240 cb203a - brush no.,,mt240 cb203a,brand | company | make | manufacturer | model | model name | model no | model number,brush no. | type
mgm brake motors,2,1,8,2,2,2,25.0%,50.0%,MGM - brand | company | manufacturer | make |||| Brake Motors - type | motor_type | product_type | device_type,brake - motor type |||| mgm - brand,brand | motor type,mgm,company | device type | make | manufacturer | product type | type,
mig pmdc motor 24v 42v,2,2,8,2,2,2,25.0%,100.0%,24V 42V - voltage | operating_voltage | supply_voltage | rated_voltage |||| PMDC - type | motor_type | product_type | device_type,24v 42v - voltage |||| pmdc - motor type,motor type | voltage,24v 42v | pmdc,device type | operating voltage | product type | rated voltage | supply voltage | type,
mil 37 38 diaphragm actuators,0,1,4,2,2,2,0.0%,50.0%,MIL 37 38 - model_number | model_name | model | model_no |||| 37 38 - model_name | model | model_no,diaphragm - actuator type |||| mil 37 38 - model name/number,,mil 37 38,model | model name | model no | model number,actuator type | model name/number
mini motors,1,1,4,1,1,1,25.0%,100.0%,Mini - size | dimension | frame_size | enclosure,mini - size,size,mini,dimension | enclosure | frame size,
mixer-grinder-motor,0,0,4,0,1,0,0.0%,0.0%,mixer-grinder-motor - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
motor for toto,0,0,4,1,1,1,0.0%,0.0%,Toto - brand | company | manufacturer | make,motor - part type,,,brand | company | make | manufacturer,part type
motor panvel,0,0,8,0,2,0,0.0%,0.0%,PANVEL - model_number | model_name | model | model_no |||| Motor - brand | company | manufacturer | make,,,,brand | company | make | manufacturer | model | model name | model no | model number,
motor protection cover,0,0,6,1,1,1,0.0%,0.0%,Motor Protection Cover - type | product_type | device_type | model_number |||| Motor Protection Cover - model_name |||| Motor Protection Cover - model,motor protection - usage,,,device type | model | model name | model number | product type | type,usage
motor starter controller,0,0,4,1,1,1,0.0%,0.0%,Motor Starter Controller - type | product_type | device_type | starter_type,motor starter - usage,,,device type | product type | starter type | type,usage
motor starter spark,0,1,7,1,2,1,0.0%,50.0%,Motor Starter - type | motor_type | product_type | device_type |||| Spark - starter_type | starting_method | starter,motor starter - usage,,motor starter,device type | motor type | product type | starter | starter type | starting method | type,usage
