"fk_im_spec_master_desc","fk_im_spec_options_desc"
Installation Services,Yes
Purity,"999.5 / 99.99"
Power,"1 kw"
Country of Origin,Made in India
Usage/Application,"Used in formulations with anti-inflammatory, antioxidant, and detoxifying properties"
Country of Origin,Made in India
Installation Services,Yes
Brand,MECH O TECH
Automation Grade,Semi Automatic
Power Source,Electrical
Voltage,"220 / 380 / 440 v"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Material,Stainless Steel
Power Source,Electrical / wood
Usage/Application,Industrial
Voltage,"415V"
Country of Origin,Made in India
Automation Grade,SEMI AUTOMATIC
Frequency,"50 / 60 HZ"
Usage/Application,Hypertension (High Blood Pressure)  Cerebral ischemia and vascular disorders  Vertigo and circulatio
Voltage,"380 / 415 V"
Installation Services,Yes
Material,SS 316 / SS 304
Power Source,ELECTRICAL
Installation Services,Yes
Brand,Mech O Tech LLP
Power Source,Electrical
Machine Type,TURN KEY
Voltage,"380 / 440 V"
Usage/Application,"Flavor extracts, colorants, and herbal infusions, Extraction of therapeutic compounds"
Country of Origin,Made in India
Automation Grade,Semi Automatic
Installation Services,Yes
Voltage,"415V"
Frequency,Yes
Material,Stainless Steel
Power Source,Electrical
Usage/Application,"Ayurvedic Manufacturing Units, Herbal Extract Production, Nutraceutical Ingredient Processing, Pha"
Country of Origin,Made in India
Automation Grade,Semi Automatic
Country of Origin,Made in India
Dimension,"4*7*3"
Purity,"999"
Installation Services,Yes
Frequency,Yes
Usage/Application,"Herbal & Ayurvedic Extracts, Nutraceutical Ingredient Processing, Cosmetics & Personal Care"
Installation Services,Yes
Automation Grade,Semi Automatic
Material,Stainless Steel
Power Source,Electrical
Voltage,"415v"
Country of Origin,Made in India
Material,Stainless Steel
Power Source,Electrical
Usage/Application,"Herbal & Ayurvedic Medicine Manufacturing , Nutraceutical Ingredients Production , Pharmaceutical Ra"
Country of Origin,Made in India
Frequency,Yes
Voltage,"415v"
Installation Services,Yes
Automation Grade,Semi automatic
Brand,Mecho tech LLP
Installation Services,Yes
Automation Grade,Semi Automatic
Usage/Application,"Herbal extract manufacturing, Ayurvedic medicine production, Nutraceutical ingredient processing"
Country of Origin,Made in India
Power Source,Electrical
Voltage,"415 v"
Brand,Mech O Tech LLP
Power Source,Yes
Voltage,"415 v"
Usage/Application,MECH O TECH LLP offers a high-performance Adhatoda Vasica (Vasaka) Extraction Plant designed for eff
Country of Origin,Made in India
Installation Services,Yes
Power Source,Electrical
Installation Services,Yes
Brand,Mech O Tech LLP
Voltage,"415v"
Country of Origin,Made in India
Country of Origin,Made in India
Usage/Application,"Khair Wood Extraction , Catechu (Kattha) Production ,Cutch Manufacturing , Tannin & Polyphenol Extra"
Power Source,electrical
Voltage,"415v"
Installation Services,Yes
Brand,MECH O TECH LLP
Usage/Application,"Herbal extract manufacturing ,Ayurvedic medicine production ,Food & nutraceutical industries, Tannin"
Country of Origin,Made in India
Installation Services,Yes
Brand,MECH O TECH LLP
Power Source,yes
Voltage,"415v"
Usage/Application,"Ayurvedic medicine formulations, Boswellia serrata extract production, Nutraceuticals and dietary"
Installation Services,Yes
Voltage,"415v"
Brand,Mech O Tech LLP
Power Source,Electrical
Number Of Rollers,"4"
Automation Grade,Semi Automatic
Form,Granules
Usage/Application,Blow Film
Country of Origin,Made in India
Installation Services,Yes
Purity,"80%"
Country of Origin,Made in India
Material,Stainless Steel
Usage/Application,"Ayurvedic formulation manufacturing, Herbal & botanical extract production"
Voltage,"415 v"
Automation Grade,Semi Automatic
Frequency,Yes
Power Source,Electrical
Installation Services,Yes
Country of Origin,Made in India
Power Source,ELECTRIC
Usage/Application,"Extraction of medicinal and herbal plants  , Ayurvedic and botanical extract manufacturing , Phytoch"
Country of Origin,Made in India
Brand,MECH O TECH LLP
Machine Type,SEMI AUTOMATIUC
Voltage,"415V"
Installation Services,Yes
Automation Grade,Semi Automatic
Brand,Mech O Tech LLP
Country of Origin,Made in India
Voltage,"415v"
Installation Services,Yes
Material,Stainless Steel
Power Source,Electrical
Usage/Application,"Ayurvedic and herbal medicine production, Pharmaceutical extraction of medicinal compounds, Nutraceu"
Country of Origin,Made in India
Frequency,Yes
Power Source,electrical
Voltage,"415v"
Brand,mech o tech llp
Country of Origin,Made in India
Installation Services,Yes
Usage/Application,"Extraction of medicinal and herbal plants  , Ayurvedic and botanical extract manufacturing , Phytoch"
Usage/Application,"Ayurvedic & herbal extract manufacturing, Nutraceutical ingredient processing"
Voltage,"415 v"
Country of Origin,Made in India
Automation Grade,Semi automatic
Machine Type,Twin Screw Extruder
Material,"SS ,MS"
Brand,Tirupati
Material To Be Extruded,Plastic
Frequency,Tube
Capacity,"1.5 Liter"
Capacity,"1 TON PER DAY"
Machine Type,SEMI-AUTOMATIC
Frequency,"50 HZ"
Material To Be Extruded,Plastic
Capacity,"150 - 300 ( kg/hr )"
Brand,Ocean Extrusions Pvt Ltd
Power Consumption,"146 - 194 ( kw )"
Type,Pipe Extruder
Usage/Application,Industrial
Brand,Viahva Glabalx
Brand,Ocean Rotoflex
Capacity,"28 - 280 ( kg/hr )"
Dimensions,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Brand,S.r Asia-Pacific
Industry Type,Commercial
Type Of Testing Machines,CONSTRUCTIONS
Automation Grade,Automatic
Material,MS Or SS
Type Of Testing Machines,Bitumen Extractor
Automation Grade,Manual
Material,Stainless Steel
Capacity,"1-50l/h"
Automation Grade,Automatic
Material,PVDF
Frequency,"50HZ"
Automation Grade,Automatic
Material,MS
Brand/Make,saini
Brand,Pingaxh
Capacity,"6-10 kg"
Capacity,Up 20 kg
Capacity,"1.2 kg per min"
Material To Be Extruded,Plastic
Brand,Gangaa
Frequency,"50Hz"
Automation Grade,Automatic
Usage/Application,Outdoor
Material,Mild Steel
Capacity,"50TPD - 1000 TPD"
Capacity,"1kg"
Brand,CTK Biotech
Usage/Application,Industrial
Plastic Processed,Compounding & Reprocessing
Automation Grade,SEMI AUTOMATIC
Shape,Round
Other Necessities,Fast Growth
Brand,GOYUM
Usage/Application,Solvent Extraction
Material,SS
Capacity,"120 kg/hour"
Machine Type,Twin Screw Extruder
Material To Be Extruded,"PVC,LD,PP,ABS,NYLON,HDPE,PET,PC ALL TYPE OF MATERIAL"
Material,"PVC,LD,PP,ABS,NYLON,HDPE,PET,PC ALL TYPE OF MATERIAL"
Type,New
Material To Be Extruded,Aluminium
Automation Grade,Manual
Capacity,"12 inches to 60 inches"
Flow Rate(LPM)/(Nm3/hr),"350 cylinder filling capacity of 7nm3"
Capacity,"5 kg"
Automation Grade,Automatic
Phase,Three Phase
Screw Design,As per customer requirement
Screw Number,"2"
Capacity,"1 to 500kg"
Phase,Single Phase
Frequency,"50HZ"
Material,PVDF
Brand,Mechno Tech
Purity Of Oxygen,"97+-3%"
Brand,techmks
Material,SS/Mild Steel
Material to be Extruded,Plastic
Capacity,"28 - 280 ( kg/hr )"
Material to be Extruded,Rubber
Phase,"3 phase"
Capacity,"10 Kg"
Type,Fully Automatic
Brand,S.S. Engineering Works
Packaging Size,CUSTOMIZED
Automation Grade,Automatic
Machine Weight,"650 KG"
Production Capacity,"800 kg/hr"
Brand,Steer
Type,Fully Automatic
Usage/Application,on request
Brand,Seiko
Usage/Application,Industrial
Usage/Application,Industrial
Brand,Jagdish Exports
Usage/Application,Solvent Extraction
Type,Pipe Extruder
Capacity,"1000 TPD"
Plastic Processed,yes
Machine Type,Twin Screw Extruder
Production Capacity,"28 - 280 ( kg/hr )"
Brand,OCEAN EXTRUSIONS PVT LTD
Power Consumption,"146 - 194 ( kw )"
Production Capacity,"28 - 280 ( kg/hr )"
Production Capacity,"28 - 280 ( kg/hr )"
Suitable For,Home
Material,Mild Steel
Capacity,"200 TPD"
Machine Power (kW),"100 kW"
Material To Be Extruded,Rubber
Frequency,"50 Hz"
Brand,Elecon
Phase,Single Phase
Capacity,CUSTOMIZED MODELS
Usage/Application,"Sunflower seeds, Cotton seeds, Soyabeen seeds, Palm oil seeds etc"
Brand,Chinese
Screw Design,DOUBLE SCREW
Type,Fully Automatic
Usage/Application,Industrial
Usage/Application,Laboratory
Power Consumption,"2-5 HP"
Brand,P R Industries
Brand,Kumar Manufacturing Company
Automation Grade,Automatic
Usage/Application,WIRE AND CABLE MACHINERY  FOR HOUSE HOLD CABLE MANUFACTURING
Brand,SS ENGINEERING WORKD
Capacity,"100-200KG PER HOUR"
Machine Type,EXTRUDER
Usage/Application,"Pe,Ldpe,Lldpe,Hdpe,Hm-Hdpe,Mdpe,Mlldpe,Metallocene,Polyethylene,Polypropylene,Eva,Pvoh/Pa"
Capacity,"10 KG TO ANY"
Capacity,"1.5ltr"
Frequency,"50Hz"
Automation Grade,Automatic
Material To Be Extruded,Plastic
Brand,Mahindra Plastic Industries
Usage/Application,Industrial
Production Capacity,Customised
Type,Fully Automatic
Brand,Dev Industries
Capacity,"50 TO 100 KG/HR"
Machine Type,"Automatic,Semi-Automatic"
Brand,kalinga
Power Consumption (kw),"110 kw"
Capacity,"50 kg/Round"
Brand,Mahindra Plastic Industries
Usage/Application,Industrial
Usage/Application,Industrial
Material To Be Extruded,Noodle
Usage/Application,Industrial
Power Consumption,"48 - 75 ( kw )"
Power Consumption,"48 - 75 ( kw )"
Type Of Testing Machines,Bitumen testing
Automation Grade,Automatic
Material,Mild Steel
Power Consumption,"146 - 194 ( kw )"
Type,Fully Automatic
Frequency,"50 Hz"
Brand,GOYUM
Capacity,"10 TPD to 500 TPD"
Automatic Grade,Automatic
Material To Be Extruded,Plastic
Usage/Application,Industrial
Frequency,"50Hz"
Capacity,"100 kg/hour"
Brand,Mahindra Plastic Industries
Material To Be Extruded,Plastic
Usage/Application,Industrial
Usage/Application,Solvent Extraction
Capacity,"2 kg"
Power Consumption,"200 KW per hour (Approx.)"
Material,M.S.AND S.S.
Type Of Testing Machines,Bitumen Test
Production Capacity,"12 kg/Hour"
Brand,Hasmukh Engineering Works
Production Capacity,"500 kg/hr"
Automation Grade,Automatic
Automation Grade,Automatic
Phase,"3 Phase"
Brand,Slach
Production Capacity,"60 Kgs/Hr"
Material,ss
Automation Grade,Automatic
Capacity,"1500gm"
Capacity,"3 Ton"
Power,"12kW"
Material,MS Body
Usage/Application,Industrial
Capacity,"25 - 50 kg"
Phase,"3"
Brand,Wintech Industries
Plastic Processed,PVC Pipe
Screw Design,Twin screw Barrel
Brand,Wintech Industries
Type,Fully Automatic
Material To Be Extruded,Plastic
Brand,Own Make
Motor Power,"3 HP"
Capacity,"3 kg in per min"
Type,Fully Automatic
Material To Be Extruded,Plastic
Machine Type,Mono Layer Blown Film Machine
Power Source,electrical
Country of Origin,Made in India
Installation Services,Yes
Brand,mech o tech llp
Voltage,"415v"
Power Source,Electrical
Brand,Mech O Tech LLP
Voltage,"415 v"
Usage/Application,"Extraction of herbal bioactive compounds and essential oils, Production of herbal medicines"
Installation Services,Yes
Frequency,Yes
Material,Stainless Steel
Power Source,Electrical
Usage/Application,"Extraction of herbal and botanical colors for food and beverages, Production of natural pigments"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Voltage,"415 v"
Country of Origin,Made in India
Brand,mech o tech llp
Power Source,electrical
Usage/Application,"Natural herbal extract production ,  Botanical and phytochemical extracts , Nutraceutical and dietar"
Country of Origin,Made in India
Installation Services,Yes
Voltage,"415v"
Power Source,electrical
Country of Origin,Made in India
Installation Services,Yes
Brand,mech o tech llp
Voltage,"415v"
Usage/Application,"Natural medicine extraction, Ayurvedic & herbal formulation manufacturing, Nutraceutical & health su"
Usage/Application,Oil Cooling
Usage/Application,"•	Natural food color extraction, Herbal and botanical dye production, Textile dye extraction"
Power Source,Electrical
Voltage,"415 v"
Country of Origin,Made in India
Installation Services,Yes
Brand,Mech O Tech LLP
Usage/Application,"Kalmegh extract production, Herbal and Ayurvedic formulations, Nutraceutical bioactive extraction, P"
Power Source,Electrical
Voltage,"415v"
Installation Services,Yes
Brand,MECHTECH LLP
Country of Origin,Made in India
Power Source,electrical
Usage/Application,"Andrographis paniculata (Kalmegh) extract manufacturing, Herbal and Ayurvedic extract production, Nu"
Installation Services,Yes
Brand,mech o tech llp
Voltage,"415v"
Automation Grade,Automatic
Automatic Grade,Automatic
Automation Grade,Automatic
Voltage,"415V"
Phase,"3"
Automation Grade,Automatic
Country of Origin,Made in India
Material,Mild Steel
Weight,"1500 kg"
Country of Origin,Made in India
Usage/Application,MEDICINE
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,SS
Material,SS 304 316
Power Source,"100 HP"
Usage/Application,Ashwagandha extract
Design Type,REW
Power Source,"60 hp"
Voltage,"60"
Country of Origin,Made in India
Installation Services,Yes
Installation Services,No
Brand,SS-304L
Automation Grade,yes
Material,SS
Usage/Application,Herbal Extract
Installation Services,Yes
Country of Origin,Made in India
Usage/Application,MEDICINE
Installation Services,Yes
Automation Grade,Semi Automatic
Machine Type,SS EXTRACTOR
Power Source,"60 HP"
Country of Origin,Made in India
Phase,Three Phase
Usage/Application,Herbal Extract
Material,Stainless Steel
Installation Services,Yes
Automation Grade,Semi-Automatic
Frequency,"50 Hz"
Voltage,"380 V"
Country of Origin,Made in India
Power Source,Electric
Automation Grade,SS
Material,SS 304 316
Power Source,"60 HP"
Usage/Application,EXTRACT
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi-Automatic
Country of Origin,Made in India
Voltage,"415V"
Automation Grade,Semi-Automatic
Country of Origin,Made in India
Automation Grade,Manual
Purity,"99.9%"
Heating Range,"50 to 100 Degree Celsius"
Material,Polypropylene
Country of Origin,Made in India
Automation Grade,Automatic
Voltage,"120 V"
Automation Grade,Automatic
Material,MS
Phase,Three phase
Voltage,"440 V"
Country of Origin,Made in India
Voltage,"415 V"
Driven Type,Electric
Brand,Bet
Country of Origin,Made in India
Installation Services,Yes
Automation Grade,Semi Automatic
Model Name/Number,Silver Refinery
Phase,Three Phase
Application,To Make Electric Wire
Finished Type,Polished
Voltage,"415 V"
Colour,Silver
Display,Digital
Voltage,"220v to 420v"
Power source,Electricity
I Deal In,Only New
Weight,"50 kg ."
Frequency,"50 Hz"
Frequency,"50Hz"
Material,Mild Steel
Phase,Single Phase
Voltage,"220V"
Frequency,"50Hz"
Voltage,"220V"
Phase,Single Phase
Material,Mild Steel
Voltage,"220V"
Frequency,"50Hz"
Phase,Single Phase
Material,Mild Steel
"4.,5","150kg"
Brand,Botanical Plastics Pvt Ltd
Material,Mild Steel
Brand,Botanical Plastics Pvt. Ltd.
Usage/Application,Food & Packaging
Warranty,"1 Year"
Weight,"350 T"
Raw Material,polypropylene
Power Consumption,"1600 Kw Total  Power"
Certification,Yes
Mould Cavity,"1"
Maintenance,Yes
Voltage,"1600 KW"
Dimension,"115*9*4m"
Phase,"3 Phase"
Film Thickness,"12~50 Micron"
Screw Diameter,"52 mm"
Main Motor,"15 HP"
Dimension,"115*9*4m"
Capacity,"800Kg - 2Ton/day"
Warranty,"1 Year"
Usage/Application,Food & Packaging
Raw Material,Polypropylene
Power Consumption,"1600 Kw Total  Power"
Phase,"3 Phase"
Certification,Yes
Voltage,"1600 KW"
Film Thickness,"12~50 Micron"
Mould Cavity,"1"
Maintenance,Yes
Weight,"350 T"
Capacity,"10000 L"
Price range,"depends on capacity---- range starts from Rs 15,00,000"
Automation Grade,Semi-Automatic
Usage/Application,Industrial
Control Type,CNC
Max Force Or Load,"20 Ton"
Extruder,"Melts the raw plastic material (such as LDPE, LLDPE, or HDPE)."
Circular Die:,Shapes the molten plastic into a tube as it is forced out.
Packaging:,"Films for food, textiles, heavy-duty industrial packaging, and bags for various products."
Agriculture:,"Greenhouse films, seed packaging films, and plant protection sleeves."
Logistics:,"Films for wrapping pallets, creating shrink wrap, and express bags."
Color,White
Pack Type,Loose
Voltage:,"277"
Phase:,P-N
Usage,Refining raw gold
Brand,Jeweltech Recycling Solutions Private Limited
Frequency,"50 Hz"
Material,PVC
Material To Be Extruded,PVC
Capacity,"7 kg"
Material To Be Extruded,FLOATING FISH FEED
Capacity,"1.5 L"
Capacity,"100 kg/day"
Brand,MDS
Capacity,"300 Kg/hr"
Automation Grade,Automatic
Capacity,"30 kg to 250 kg"
Brand,Ocean Extrusions Pvt Ltd
Usage/Application,Industrial
Usage/Application,Pest control and Pest repellent in all crops
Type,Pipe Extruder
Capacity,"150 Kg/h"
Machine Type,Automatic
Frequency,"50 Hz"
Type,Pipe Extruder
Machine Type,Automatic
Frequency,"50 Hz"
Production Capacity,"28 - 280 ( kg/hr )"
Material To Be Extruded,Plastic
Machine Power (kW),"60 kW"
Capacity,Up to 300 Kg / Hr
Automation Grade,Automatic
Material To Be Extruded,steel
Brand,BIG BULL
Automation Grade,Semi-Automatic
Usage/Application,Industrial
Plastic Processed,yes
Screw Design,yes
Screw Number,"1"
Production Capacity,"30 kg/hrs"
Usage/Application,EDUCATIONAL TRAINER
Brand,ELSHADDAI
Profile Type,Any type
Finish,Color Coated
Capacity,Up to 2500 TPD
Capacity,"70 to 500 TPD"
Capacity,"150 - 300 ( kg/hr )"
Brand,LE
Usage/Application,Industrial
Usage/Application,Industrial
Usage/Application,Factory
Usage/Application,"Pe,Ldpe,Lldpe,Hdpe,Hm-Hdpe,Mdpe,Mlldpe,Metallocene,Polyethylene,Polypropylene,Eva,Pvoh/Pa"
Capacity,"100 kg - 4000 kg"
Machine Type,Extractor
Type,Fully Automatic
Brand,JGI
Usage/Application,Floatiing fish feed
Material,Mild Steel
Type,Fully Automatic
Material To Be Extruded,LDPE
Brand,VELOS
Brand,Fressia Macross Japan
Screw Number,"3"
Usage/Application,Wire Straightening
Power Consumption,"20 - 40 ( kw )"
Production Capacity,"55 - 125 ( kg/hr )"
Service Location,Local Area
Brand,ARKChem
Capacity,Various
Material To Be Extruded,Plastic
Usage/Application,Pvc Compounding Extruder
Capacity,"20 ton/day"
Frequency,normal
Brand,Kalinga Extrusion Technik
Frequency,"50 Hz"
Capacity,"1500 Gm"
Material To Be Extruded,Plastic
Power Consumption,"146 - 194 ( kw )"
Capacity,"220Kg Per Hour"
Type,Fully Automatic
Material To Be Extruded,Plastic
Usage/Application,Industrial
Material,SS
Automation Grade,Automatic
Brand,ADITYA
Frequency,"50/60 Hz"
Capacity,"50 Kg"
Automation Grade,Semi-Automatic
Automation Grade,Automatic
Phase,"3 Phase"
Type,Fully Automatic
Capacity,Standard
Brand,Komal Plastic
Usage/Application,Industrial
Type,Fully Automatic
Material To Be Extruded,XPS Foam Board
Usage/Application,Industrial
Type,New
Brand,Ruby Plastic
Usage/Application,Industrial
Material To Be Extruded,Plastic
Capacity,"2HP"
Type,Fully Automatic
Capacity,"1 KG TO 50 KG"
Type,Fully Automatic
Brand,OCEAN EXTRUSIONS PVT LTD
Material,Stainless Steel
Capacity,"5 kg"
Frequency,"50 Hz"
Frequency,"50Hz"
Machine Power,"50Hp"
Machine Type,Pipe Extrusion Machine
Frequency,"60 Hz"
Capacity,"100 Litter Input  to As per req"
Metal,Gold
Usage/Application,Industrial
Material To Be Extruded,ABA
Material,Stainless Steel
Capacity,"400 TPD"
Capacity,"1000 LPH"
Usage/Application,Industrial
Capacity,Standard
Frequency,High
Brand,Solvent Extraction Plants
Type Of Testing Machines,Bitumen Test
Capacity,Depend on the Project
Capacity,Depend on the Project
Capacity,"5 to 200kg"
Capacity,"400 g"
Capacity,"150 KG PER HOUR"
Usage/Application,Making Carry Bag and Plastic Bag
Power Consumption,"35kW"
Usage/Application,Packaging Products
Material,HDPE
Usage/Application,FOR EXTRACTING OIL FROM CAKE AND SOYBEAN
Machine Type,AUTOMATIC
Capacity,"100 kg/hr"
Material To Be Extruded,Plastic
Material to be Extruded,Plastic
Type,Dana plant
Brand,Maruti
Material,Stainless Steel
Machine Power (kW),upto 40 kW
Screw Number,SP70
Frequency,"50Hz"
Brand,Balaji Engineering Works
Machine Type,Pipe Extrusion Machine
Machine Power (kW),"80 kW"
Hardness,"50 HRC"
Weight,"110 Kg"
Automation Grade,Automatic
Material,MS
Usage/Application,Oil Extraction
Brand,Windsor
Machine Power (kw),"0-40 kw"
Capacity,"1 Kg"
Capacity,"1 Kg"
Capacity,"1kg To 200Kg"
Automation Grade,Automatic
Screw Design,Double-screw
Brand,CADIF
Usage/Application,Industrial
Material To Be Extruded,Plastic
Brand,SHFT
Phase,three phase
Brand,Depend on the Project
Usage/Application,Depend on the Project
Usage/Application,Depend on the Project
Machine Type,Depend on the Project
Usage/Application,Depend on the Project
Machine Type,Depend on the Project
Usage/Application,Industrial
Cooler Material,Steel
Voltage,"440 V"
Brand,PRIME MARGO
Type Of Testing Machines,Bitumen Testing
Brand,Jeweltech
Type Of Furnace,Compact Countertop heating courses With Insulated Firebrick Walls to maintain High Temperatures
Type,Fully Automatic
Automation Grade,Manual
Material to be Extruded,Plastic
Frequency,"50 Hz"
Capacity,"1 kg to 100 kg per day"
Capacity,"1 Kg Per Day"
Material To Be Extruded,Plastic
Usage/Application,Industrial
Material,"MS, SS, etc"
Capacity,Customized
Machine Power (kW),"100 kW"
Business / Industry Type,Turn Key solution
Brand,KUMAR
Brand,KUMAR
Capacity,"5 kg gold"
Capacity,"250kg"
Usage/Application,Effective separation of fines from miscella
Capacity,Up To 200 Kg
Brand,Depend on the Project
Material,Stainless Steel
Brand,Akansha Extrusion & Engineering
Capacity,"1 Kg,2Kg,3Kg,5Kg,10Kg,15 Kg,20kg,25kg,50kg,100 kg"
Screw Number,Twin screw
Phase,Three Phase
Capacity,Standard
Type Of Testing Machines,Bitumen Testing Machine
Production Capacity,"400 - 700 kg/h"
Machine Type,Blown Film Machine
Brand,Bulpower
Automation Grade,Semi Automatic
Phase,Three Phase
Frequency,"50Hz"
Usage/Application,The Toxicity Characteristic Leaching Procedure (TCLP) is a soil sample extraction procedure for chem
Voltage,"220"
Installation Services,Yes
Weight,"35KG"
Country of Origin,Made in India
Material,Mild Steel + Stainless Steel
Automation Grade,Automatic
Automation Grade,Automatic
Country of Origin,Made in India
Electrical Unit Consumption,Naaa
Max. Vacuum,Naaaa
Screw L D Ratio,"20 1"
Automation Grade,Semi Automatic
Voltage,"415 V"
Phase,Three Phase
Heating Mode,Electric
Usage/Application,NATURAL PRODUCTS EXTRACTION
Power Source,"ELECTRICAL, SOLID FUEL"
Frequency,"50HZ, 60HZ"
No. of Screws,"6 Bolt"
Automation Grade,Semi Automatic
Country of Origin,Made in India
Voltage,"110 / 220 / 380 / 440 V"
Brand,Bet
Country of Origin,Made in India
Automation Grade,Semi Automatic
Purity,"99%"
Country of Origin,Made in India
Installation Services,Yes
Material,"SS, Glass, PP"
Packaging Type,Wooden
Phase,Three Phase
Expeller Motor,"3 Phase, 30 HP, 1440 RPM"
Dimension (LxBxH),"8'6"" x 4'1"" x 8'8"""
Model,GOYUM MK 3
Weight,"4200 kgs"
Chamber Size,"Dia 6"" x 33"" Long"
Pipe Range Single Die,"20 mm"
Pipe Range Twin Die,"19 mm"
Screw Speed,"5.52 RPM"
L/D Ratio,"25:1"
Motor Power,"15 Kw"
Screw Diameter,"52 mm"
Max. Output PVC,"135 kg/hr"
L/D Ratio,"18:1"
Pipe Range Single Die,"20 mm"
Max. Output PVC,"180 kg/hr"
Motor Power,"15 Kw"
Pipe Range Twin Die,"19 mm"
Screw Diameter,"65 mm"
Screw Diameter,"91 mm"
Max. Output PVC,"520 kg/hr"
L/D Ratio,"25:1"
Motor Power,"60 Kw"
Pipe Range Single Die,"110 mm"
Pipe Range Twin Die,"63 mm"
Voltage,"440 V"
Surface Finish,Powder Coated
Application,"Plastic industry,Processing Machinery,Rubber and Thermoplastics"
Power Source,Electric
usage,industrial application
DIE SIZE,"90MM"
Automation Grade,Automatic
Voltage,"24V"
Frequency,"50Hz"
Voltage,"24V"
Automation Grade,Automatic
Frequency,"50Hz"
Frequency,"50Hz"
Phase,Single Phase
Material,Mild Steel
Voltage,"220V"
Material,Stainless Steel
Usage/Application,Industrial
Series Available,Eco / Evolve / Elevate
Brand,Botanical Plastics Pvt. Ltd.
Motor Power,"0.25 HP"
Voltage,"230 V"
Power Consumption,"1600 Kw Total  Power"
Production Capacity.,"800Kg - 2Ton/day"
Maintenance,Yes
Phase,"3 Phase"
Usage/Application,Food & Packaging
Raw Material,polypropylene
Mould Cavity,"1"
Dimension,"115*9*4m"
Certification,Yes
Warranty,"1 Year"
Voltage,"1600 KW"
Mould Cavity,"1"
Power Consumption,"1600 Kw Total  Power"
Maintenance,Yes
Warranty,"1 Year"
Capacity.,"800Kg - 2Ton/day"
Weight,"350 T"
Film Thickness,"12~50 Micron"
Raw Material,Polypropylene
Dimension,"115*9*4m"
Machine Type.,Automatic
Phase,"3 Phase"
Usage/Application,Food & Packaging
Certification,Yes
Voltage,"1600 KW"
Brand,Vrundavan
Dimension,"115*9*4m"
Raw Material,Polypropylene
Certification,Yes
Warranty,"1 Year"
Weight,"350 T"
Mould Cavity,"1"
Film Thickness,"12~50 Micron"
Capacity.,"800Kg - 2Ton/day"
Power Consumption,"1600 Kw Total  Power"
Maintenance,Yes
Phase,"3 Phase"
Voltage,"1600 KW"
Usage/Application,Food & Packaging
Material,Mild steel
Automation Grade,Automatic
Material,SS
Finish,Polished
Brand,Metro Plastic
Model Number,NON IBC se3hr 900
Brand,Botanical Plastics Pvt. Ltd.
Material,Mild Steel
Brand,Botanical Plastics Pvt Ltd
Capacity,"1000 TPD"
Production Capacity,"200 kg/hr"
Screw Diameter,"65 mm"
Motor Power,"11 kW"
Material,Mild Steel
Application,Cable
Material Processed,PVC
Brand,"Rice Brand, cotton seed, Mustard seeds, all types"
Machine Type,Semi automatic
Usage/Application,Comercial
Voltage,"220 V"
Automation Grade,Automatic
Phase,Single Phase
Manufactured By,Asha Engineering Works
Production Capacity,"200 kg/hr"
Screw Diameter,"75 mm"
Motor Power,"22 kW"
Screw Diameter,"45 mm"
Screw Diameter,"25 mm"
Motor Power,"11 kW"
Motor Power,"18.5 kW"
Screw Diameter,"40 mm"
Motor Power,"11 kW"
Screw Diameter,"40 mm"
Capacity(kg),"100"
Capacity,"100KG PLANT"
Processing Method,Aqua Regia
Automation Grade,Automatic
Phase,Three Phase
Capacity(kg),"50"
Capacity,"100kg Per Hour"
Filament Application,Fishing Net
Filament Application,bird net
Automation Grade,Automatic
Brand,Specific
Automation Grade,Automatic
Brand,Specific
Machine Type,Automatic
Usage/Application,Drying Garment
Brand,Specific
Automation Grade,Automatic
Automation Grade,Automatic
Power,"4kW"
Body Material,Stainless Steel
Material,Mild Steel
Power Consumption,"160kw"
Machine Type,Automatic
Voltage,"440V"
Frequency,"50Hz"
Model Number,ZV92
Phase,Three Phase
Voltage,"220 V"
Voltage,"220 V"
Phase,Three Phase
Installation Services,No
Brand,Shree Bhavani Engineering
Motor,"78 HP"
Voltage,"420V"
Voltage,"220 V"
Model Number,ZV30
Phase,Three Phase
Voltage,"220 V"
Phase,Three Phase
Material,SS 316L
Packaging Type,EXPORT PACKING
Phase,"3 PHASE"
Purity,"999+"
Country of Origin,Made in India
Installation Services,Yes
Frequency,"50Hz"
Voltage,"240V"
Country of Origin,Made in India
Power,Electric Source
Body Material,SS
Installation Services,Yes
Purity,"90%"
Heating Range,"80 Degree C"
Uses,Can Be Used In Gold Industry
Voltage,"440 V"
Extraction Type,Liquid-Liquid
Extraction Method,Solvent
Automation Grade,Semi Automatic
Film Width,"1500 mm"
Production Capacity,"100 kg/hr"
Production Capacity,"10kg/hr"
Automation Grade,Semi Automatic
Extraction Type,Liquid-Liquid
Production Capacity,"75 kg/hr"
Packaging Size,"285"
Frequency,"50 Hz"
Usage/Application,Industrial
Usage/Application,Food Packaging
Automation Grade,Fully Automatic
Brand,Admech
Type,Fully Automatic
Material To Be Extruded,Plastic
Machine Type,Pipe Extrusion Machine
