Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
crompton-motors,4,1,5,5,2,2,80.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand | manufacturer | company |||| motors - category | product_type,brand | company | manufacturer | product type,crompton,motor type,category
danfoss original brand new h1b80/h1b110 motor,3,2,7,7,3,4,42.9%,66.7%,danfoss - brand | manufacturer | company |||| motor - motor_type | product_type |||| new - condition | product_condition,danfoss - brand |||| original brand new - condition | state |||| h1b80/h1b110 - model | series | part_number |||| motor - motor_type,brand | condition | motor type,danfoss | motor,company | manufacturer | product condition | product type,model | part number | series | state
dc 12v gear motor,3,3,6,5,3,3,50.0%,100.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,dc - motor_type | current_type |||| 12v - voltage | volt |||| gear motor - motor_type | type,current type | motor type | voltage,12v | dc | gear motor,product type | supply type | supply voltage,type | volt
dc brake motors in mumbai,0,0,4,0,2,0,0.0%,0.0%,brake motor - motor_type | product_type |||| dc - current_type | supply_type,,,,current type | motor type | product type | supply type,
dc fan motor 15 20 watt,3,0,8,4,4,2,37.5%,0.0%,fan motor - motor_type | product_type |||| 20 w - power | wattage |||| dc - current_type | supply_type |||| fan - application | use,dc fan motor - motor_type | type |||| 15 20 watt - power | wattage,motor type | power | wattage,,application | current type | product type | supply type | use,type
dc motor 8 watt,3,1,6,4,3,2,50.0%,33.3%,dc motor - motor_type | product_type |||| 8 w - power | wattage |||| dc - current_type | supply_type,dc motor - motor_type | dc |||| 8 watt - power | wattage,motor type | power | wattage,dc motor,current type | product type | supply type,dc
dc motor bush,1,1,4,4,2,2,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc motor - motor_type | dc |||| bush - bearing_type | bearing,motor type,dc motor,current type | product type | supply type,bearing | bearing type | dc
dc motors,1,0,4,2,2,1,25.0%,0.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc motors - motor_type | dc,motor type,,current type | product type | supply type,dc
dc ware,0,0,2,2,1,1,0.0%,0.0%,dc - current_type | supply_type,dc ware - brand | manufacturer,,,current type | supply type,brand | manufacturer
dc-geared-motor,1,0,4,3,2,1,25.0%,0.0%,gear motor - motor_type | product_type |||| dc - current_type | supply_type,dc-geared-motor - motor_type | type | category,motor type,,current type | product type | supply type,category | type
dc-motor-spare,2,0,4,4,2,2,50.0%,0.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,spare - product_type | category |||| dc-motor - motor_type | dc,motor type | product type,,current type | supply type,category | dc
deep electricals vibrator motor,1,1,2,4,1,2,50.0%,100.0%,vibrator motor - motor_type | product_type,deep electricals - brand | manufacturer |||| vibrator motor - motor_type | type,motor type,vibrator motor,product type,brand | manufacturer | type
deep vibrator motor,2,0,2,3,1,1,100.0%,0.0%,vibrator motor - motor_type | product_type,deep vibrator motor - motor_type | type | product_type,motor type | product type,,,type
desert cooler motor,3,0,4,4,2,2,75.0%,0.0%,cooler motor - motor_type | product_type |||| cooler - application | use,desert cooler - application | type | use |||| motor - motor_type,application | motor type | use,,product type,type
desert type aluminum 32 mm 1 inch kit cooler motor,2,0,4,10,2,5,50.0%,0.0%,cooler motor - motor_type | product_type |||| cooler - application | use,desert type - application_type | cooler_type |||| aluminum - winding_material | material |||| 32 mm - stack_height | size |||| 1 inch - dimension | size_variant |||| kit cooler motor - product_type | motor_type,motor type | product type,,application | use,application type | cooler type | dimension | material | size | size variant | stack height | winding material
desert type copper 32 mm 1 cooler motor,2,1,4,10,2,5,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,desert type - application_type | cooler_type |||| copper - winding_material | material |||| 32 mm - stack_height | size | thickness |||| 1 - quantity |||| cooler motor - application | motor_type,application | motor type,cooler motor,product type | use,application type | cooler type | material | quantity | size | stack height | thickness | winding material
dg geared motor,1,0,2,4,1,2,50.0%,0.0%,gear motor - motor_type | product_type,dg - brand | manufacturer |||| geared motor - motor_type | type,motor type,,product type,brand | manufacturer | type
digital dol starter,1,0,4,4,1,2,25.0%,0.0%,starter - application | use |||| starter - product_category | category,digital - type | technology |||| dol starter - starter_type | application,application,,category | product category | use,starter type | technology | type
dol starter,0,0,4,3,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,dol starter - product_type | starter_type | type,,,application | category | product category | use,product type | starter type | type
dol-starter,0,0,4,3,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,dol-starter - starter_type | type | product_type,,,application | category | product category | use,product type | starter type | type
door-motor,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,door-motor - application | motor_type | use,motor type,,product type,application | use
double shaft encoder gear motor,3,1,4,6,2,3,75.0%,50.0%,gear motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,gear motor - motor_type | type |||| double shaft - shaft_type | shaft |||| encoder - feature | accessory,motor type | shaft | shaft type,gear motor,product type,accessory | feature | type
double shaft gear motor,3,1,4,4,2,2,75.0%,50.0%,gear motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,double shaft - shaft_type | shaft |||| gear motor - motor_type | geared_motor,motor type | shaft | shaft type,gear motor,product type,geared motor
drondch motor,1,1,2,3,1,2,50.0%,100.0%,motor - motor_type | product_type,drondch - brand | manufacturer |||| motor - motor_type,motor type,motor,product type,brand | manufacturer
dual shaft 1300RPM BLOWER FAN MOTOR,7,1,9,7,4,4,77.8%,25.0%,fan motor - motor_type | product_type |||| 1300 rpm - speed | rpm | rated_speed |||| fan - application | use |||| dual shaft - shaft_type | shaft,dual shaft - shaft_type | shaft |||| 1300RPM - rpm | speed |||| BLOWER FAN - application | use |||| MOTOR - motor_type,application | motor type | rpm | shaft | shaft type | speed | use,dual shaft,product type | rated speed,
dual shaft 1330 RPM BLOWER FAN MOTOR,7,2,9,7,4,4,77.8%,50.0%,fan motor - motor_type | product_type |||| 1330 rpm - speed | rpm | rated_speed |||| fan - application | use |||| dual shaft - shaft_type | shaft,dual shaft - shaft_type | shaft |||| 1330 rpm - rpm | speed |||| blower fan - application | use |||| motor - motor_type,application | motor type | rpm | shaft | shaft type | speed | use,1330 rpm | dual shaft,product type | rated speed,
dual shaft FAN MOTOR,5,2,6,6,3,2,83.3%,66.7%,fan motor - motor_type | product_type |||| fan - application | use |||| dual shaft - shaft_type | shaft,dual shaft - shaft_type | shaft | feature |||| fan motor - application | motor_type | use,application | motor type | shaft | shaft type | use,dual shaft | fan motor,product type,feature
dual shaft blower fan motor,4,1,6,5,3,3,66.7%,33.3%,fan motor - motor_type | product_type |||| fan - application | use |||| dual shaft - shaft_type | shaft,dual shaft - shaft_type | shaft_configuration |||| blower fan - application | use |||| motor - motor_type,application | motor type | shaft type | use,dual shaft,product type | shaft,shaft configuration
dvd motor,1,1,2,3,1,2,50.0%,100.0%,motor - motor_type | product_type,dvd - application | use |||| motor - motor_type,motor type,motor,product type,application | use
dwe4235 armature near udaipur,0,1,2,6,1,3,0.0%,100.0%,armature - product_category | category,dwe4235 - model_number | part_number |||| armature - part_name | component |||| udaipur - location | city,,armature,category | product category,city | component | location | model number | part name | part number
e42 90w 2850/3450rpm motor single phase,6,2,9,9,4,5,66.7%,50.0%,motor - motor_type | product_type |||| 90 w - power | wattage |||| single phase - phase | supply_phase |||| 3450 rpm - speed | rpm | rated_speed,e42 - model | series |||| 90w - power | wattage |||| 2850/3450rpm - rpm | speed |||| single phase - phase | phase_type |||| motor - motor_type,motor type | phase | power | rpm | speed | wattage,motor | single phase,product type | rated speed | supply phase,model | phase type | series
ecma-ca1010ss delta servo motor,3,2,5,6,2,3,60.0%,100.0%,delta - brand | manufacturer | company |||| servo motor - motor_type | product_type,ecma-ca1010ss - model_number | part_number |||| delta - brand | manufacturer |||| servo motor - motor_type | servo,brand | manufacturer | motor type,delta | servo motor,company | product type,model number | part number | servo
el%20tech%20motors,1,0,2,5,1,2,50.0%,0.0%,motor - motor_type | product_type,el tech - brand | manufacturer | company |||| motors - product_type | category,product type,,motor type,brand | category | company | manufacturer
electric gate motor,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,electric gate motor - application | product_type | use,product type,,motor type,application | use
electric motorized actuator,1,0,4,3,1,1,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric motorized actuator - product_type | actuator_type | category,category,,application | product category | use,actuator type | product type
electric torque,0,0,0,2,0,1,N/A,N/A,,electric torque - category | product_type,,,,category | product type
electric-actuator,1,0,4,3,1,1,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric-actuator - product_type | category | type,category,,application | product category | use,product type | type
electrical motor,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,electrical motor - product_type | category | type,product type,,motor type,category | type
electrical motor for boats,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,boats - application | use |||| electrical motor - motor_type | type,motor type,,product type,application | type | use
electronic components bo moters,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,electronic components - category | department |||| bo moters - motor_type | type,motor type,,product type,category | department | type
electronic-starter,0,0,4,3,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,electronic-starter - product_type | type | starter_type,,,application | category | product category | use,product type | starter type | type
eletical motors 40hp,4,0,5,5,2,2,80.0%,0.0%,motor - motor_type | product_type |||| 40 hp - power | horsepower | hp,eletical motors - category | product_type |||| 40hp - horsepower | power | hp,horsepower | hp | power | product type,,motor type,category
external motor rotor die casting,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,external motor rotor - product_type | component |||| die casting - process | manufacturing_method,product type,,motor type,component | manufacturing method | process
extra power breaker 1 power tool armature,1,2,2,10,2,4,50.0%,100.0%,armature - product_category | category |||| power tool - product_category | category,extra power - brand | manufacturer |||| armature - part_type | component | product_name |||| breaker 1 - compatible_tool | application | for_model |||| power tool - category | tool_type,category,armature | power tool,product category,application | brand | compatible tool | component | for model | manufacturer | part type | product name | tool type
fan motor 25 30 watt,4,1,6,4,3,2,66.7%,33.3%,fan motor - motor_type | product_type |||| 30 w - power | wattage |||| fan - application | use,fan motor - application | motor_type |||| 25 30 watt - power | wattage,application | motor type | power | wattage,fan motor,product type | use,
fan-motors,2,1,4,3,2,2,50.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,fan-motors - product_type | category | application,application | product type,fan,motor type | use,category
fcma soft starter,1,0,4,4,1,2,25.0%,0.0%,starter - application | use |||| starter - product_category | category,fcma - technology | type |||| soft starter - product_type | category,category,,application | product category | use,product type | technology | type
fdhhdfh,0,0,0,0,0,0,N/A,N/A,,,,,,
fhp motors,1,0,2,3,1,2,50.0%,0.0%,motor - motor_type | product_type,fhp motors - motor_type | category | power_type,motor type,,product type,category | power type
fireproof motor,1,1,2,3,1,2,50.0%,100.0%,motor - motor_type | product_type,fireproof - feature | protection |||| motor - motor_type,motor type,motor,product type,feature | protection
flange type 25 hp motor,4,2,5,6,2,3,80.0%,100.0%,motor - motor_type | product_type |||| 25 hp - power | horsepower | hp,flange type - mounting | mounting_type |||| 25 hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,25 hp | motor,product type,mounting | mounting type
fn20c motor,1,1,2,3,1,2,50.0%,100.0%,motor - motor_type | product_type,fn20c - model | part_number |||| motor - motor_type,motor type,motor,product type,model | part number
foot cum flange mounted electric motor,4,0,4,4,2,2,100.0%,0.0%,motor - motor_type | product_type |||| flange mount - mounting_type | mounting,foot cum flange mounted - mounting | mounting_type |||| electric motor - motor_type | product_type,motor type | mounting | mounting type | product type,,,
foot mounting 1 piece 1440 rpm Single Phase Motors,6,2,9,9,4,5,66.7%,50.0%,motor - motor_type | product_type |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,foot mounting - mounting | mounting_type |||| 1 piece - quantity | pack_size |||| 1440 rpm - rpm | speed |||| Single Phase - phase | phase_type |||| Motors - motor_type,motor type | mounting | mounting type | phase | rpm | speed,1440 rpm | single phase,product type | rated speed | supply phase,pack size | phase type | quantity
fv5029 010,0,0,0,3,0,1,N/A,N/A,,fv5029 010 - model_number | part_number | mpn,,,,model number | mpn | part number
fv5029-010,0,0,0,3,0,1,N/A,N/A,,fv5029-010 - model_number | mpn | part_number,,,,model number | mpn | part number
gbru 1 min auto switch,0,0,2,7,1,3,0.0%,0.0%,switch - product_category | category,gbru - brand |||| 1 min - time_delay | duration | delay |||| auto switch - product_type | type | switch_type,,,category | product category,brand | delay | duration | product type | switch type | time delay | type
geared motor,1,0,5,3,2,1,20.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,geared motor - motor_type | type | gear_motor,motor type,,brand | company | manufacturer | product type,gear motor | type
geared motors,1,0,5,3,2,1,20.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,geared motors - motor_type | type | category,motor type,,brand | company | manufacturer | product type,category | type
gearmoter,0,0,3,3,1,1,0.0%,0.0%,ge - brand | manufacturer | company,gearmoter - motor_type | type | category,,,brand | company | manufacturer,category | motor type | type
gec 10 hp 960 rpm industrial motors,8,2,11,10,4,5,72.7%,50.0%,ge - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,gec - brand | manufacturer |||| 10 hp - horsepower | power | hp |||| 960 rpm - rpm | speed |||| industrial - application | use |||| motors - motor_type,brand | horsepower | hp | manufacturer | motor type | power | rpm | speed,10 hp | 960 rpm,company | product type | rated speed,application | use
general electric sfk01,3,1,3,6,1,2,100.0%,100.0%,general electric - brand | manufacturer | company,general electric - brand | manufacturer | company |||| sfk01 - model_number | part_number | mpn,brand | company | manufacturer,general electric,,model number | mpn | part number
godrej lawkim motor lk 4250,3,2,5,7,2,3,60.0%,100.0%,godrej lawkim - brand | manufacturer | company |||| motor - motor_type | product_type,godrej lawkim - brand | manufacturer |||| motor - product_type | type |||| lk 4250 - model_number | model | part_number,brand | manufacturer | product type,godrej lawkim | motor,company | motor type,model | model number | part number | type
gpn gear motor,1,1,2,4,1,2,50.0%,100.0%,gear motor - motor_type | product_type,gpn - brand | series |||| gear motor - motor_type | type,motor type,gear motor,product type,brand | series | type
grinding-motor,1,1,2,3,1,2,50.0%,100.0%,motor - motor_type | product_type,grinding - application | use |||| motor - motor_type,motor type,motor,product type,application | use
gsm mobile starter,0,0,4,5,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,mobile starter - product_type | starter_type |||| gsm - technology | communication | network,,,application | category | product category | use,communication | network | product type | starter type | technology
happymodel motor,1,1,5,3,1,2,20.0%,100.0%,motor - motor_type | product_type |||| motor - model_number | part_number | model,happymodel - brand | manufacturer |||| motor - motor_type,motor type,motor,model | model number | part number | product type,brand | manufacturer
havells motor,5,2,5,5,2,2,100.0%,100.0%,havells - brand | manufacturer | company |||| motor - motor_type | product_type,havells - brand | manufacturer | company |||| motor - motor_type | product_type,brand | company | manufacturer | motor type | product type,havells | motor,,
havells single phase motor,4,3,7,5,3,3,57.1%,100.0%,havells - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,havells - brand | manufacturer |||| single phase - phase | phase_type |||| motor - motor_type,brand | manufacturer | motor type | phase,havells | motor | single phase,company | product type | supply phase,phase type
helical gear motor,1,0,2,3,1,1,50.0%,0.0%,gear motor - motor_type | product_type,helical gear motor - motor_type | gear_motor | type,motor type,,product type,gear motor | type
helical geared motor 2hp,4,0,5,5,2,2,80.0%,0.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,helical geared motor - motor_type | gear_motor |||| 2hp - horsepower | power | hp,horsepower | hp | motor type | power,,product type,gear motor
helical geared motor 2hp near hyderabad,4,0,5,5,2,2,80.0%,0.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,helical geared motor - motor_type | type |||| 2hp - horsepower | power | hp,horsepower | hp | motor type | power,,product type,type
helical-geared-motor,1,0,2,3,1,3,50.0%,0.0%,gear motor - motor_type | product_type,helical-geared-motor - motor_type | type |||| helical - gear_type,motor type,,product type,gear type | type
high power dc motors,1,0,4,4,2,2,25.0%,0.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,high power - power_rating | power |||| dc motors - motor_type | dc,motor type,,current type | product type | supply type,dc | power | power rating
high power dc water motors for project near badlapur,2,1,4,8,2,5,50.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,high power - power_type | description |||| dc - motor_type | current_type |||| water motors - application | use |||| project - usage_context |||| badlapur - location,current type | motor type,dc,product type | supply type,application | description | location | power type | usage context | use
high power dc water motors project,0,0,4,0,2,0,0.0%,0.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,,,,current type | motor type | product type | supply type,
high power mini dc water motors for project near badlapur,2,1,4,10,2,6,50.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,high power - feature | power_type |||| mini - size | form_factor |||| dc - motor_type | current_type |||| water motors - application | use |||| project - usage_context |||| badlapur - location,current type | motor type,dc,product type | supply type,application | feature | form factor | location | power type | size | usage context | use
high power mini dc water motors project,3,1,4,11,2,6,75.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,high power - feature | performance |||| mini - size | form_factor |||| dc - motor_type | current_type |||| water - application | use |||| motors - product_type |||| project - intended_use | purpose,current type | motor type | product type,dc,supply type,application | feature | form factor | intended use | performance | purpose | size | use
hindustan,3,1,3,3,1,1,100.0%,100.0%,hindustan - brand | manufacturer | company,hindustan - brand | manufacturer | company,brand | company | manufacturer,hindustan,,
hindustan ac motor,3,2,7,4,3,2,42.9%,66.7%,hindustan - brand | manufacturer | company |||| ac motor - motor_type | product_type |||| ac - current_type | supply_type,hindustan - brand | manufacturer |||| ac motor - motor_type | type,brand | manufacturer | motor type,ac motor | hindustan,company | current type | product type | supply type,type
hindustan package,2,1,3,4,1,2,66.7%,100.0%,hindustan - brand | manufacturer | company,hindustan - brand | manufacturer |||| package - type | series,brand | manufacturer,hindustan,company,series | type
hollow shaft encoder,2,2,4,5,2,2,50.0%,100.0%,hollow shaft - shaft_type | shaft |||| encoder - product_category | category,encoder - product_type | type |||| hollow shaft - shaft_type | shaft | mounting,shaft | shaft type,encoder | hollow shaft,category | product category,mounting | product type | type
horse power,0,0,2,0,1,0,0.0%,0.0%,horse power - power_unit | unit,,,,power unit | unit,
hyundai/kia clutch actuator,0,0,4,6,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,hyundai/kia - brand | make | vehicle_make |||| clutch actuator - part_name | component | product_type,,,application | category | product category | use,brand | component | make | part name | product type | vehicle make
incubator turning motor,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,incubator turning motor - application | use | motor_type,motor type,,product type,application | use
induction motor,1,1,2,2,1,1,50.0%,100.0%,induction motor - motor_type | product_type,induction motor - motor_type | type,motor type,induction motor,product type,type
industrial-electric-motor,2,0,2,4,1,2,100.0%,0.0%,motor - motor_type | product_type,industrial - application | grade |||| electric motor - product_type | motor_type,motor type | product type,,,application | grade
inline helical geared motors,1,0,2,5,1,3,50.0%,0.0%,gear motor - motor_type | product_type,geared motors - motor_type |||| helical - gear_type | gearing |||| inline - mounting_arrangement | configuration,motor type,,product type,configuration | gear type | gearing | mounting arrangement
kapcon simi cooler motor,1,1,4,6,2,3,25.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,kapcon - brand | manufacturer |||| simi - model | series |||| cooler motor - application | type,application,cooler motor,motor type | product type | use,brand | manufacturer | model | series | type
kenstar desert air cooler motor,4,1,7,5,3,2,57.1%,33.3%,kenstar - brand | manufacturer | company |||| cooler motor - motor_type | product_type |||| cooler - application | use,kenstar - brand | manufacturer |||| desert air cooler motor - application | use | type,application | brand | manufacturer | use,kenstar,company | motor type | product type,type
kirloskar 10 hp 1440 rpm original motor,6,4,11,8,4,5,54.5%,100.0%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed,kirloskar - brand |||| 10 hp - horsepower | power |||| 1440 rpm - rpm | speed |||| original - condition | authenticity |||| motor - motor_type,brand | horsepower | motor type | power | rpm | speed,10 hp | 1440 rpm | kirloskar | motor,company | hp | manufacturer | product type | rated speed,authenticity | condition
kirloskar electric motor 10 hp 960 rpm,8,3,11,10,4,4,72.7%,75.0%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,kirloskar - brand | manufacturer |||| electric motor - product_type | type |||| 10 hp - horsepower | power | hp |||| 960 rpm - rpm | speed | rotation_speed,brand | horsepower | hp | manufacturer | power | product type | rpm | speed,10 hp | 960 rpm | kirloskar,company | motor type | rated speed,rotation speed | type
kitchen hood motor,0,0,2,3,1,1,0.0%,0.0%,motor - motor_type | product_type,kitchen hood motor - application | use | type,,,motor type | product type,application | type | use
kollmorgen servo motors akm63k-anc2r-00,1,0,2,7,1,3,50.0%,0.0%,servo motor - motor_type | product_type,kollmorgen - brand | manufacturer |||| servo motors - motor_type | servo |||| akm63k-anc2r-00 - model_number | part_number | mpn,motor type,,product type,brand | manufacturer | model number | mpn | part number | servo
l and t mpower pro mobile motor starter,2,0,4,7,2,3,50.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,l and t - brand | manufacturer |||| mpower pro - model | series |||| mobile motor starter - product_type | type | application,application | product type,,motor type | use,brand | manufacturer | model | series | type
l t mpower pro mobile motor starter,1,0,4,6,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,l t - brand | manufacturer |||| mpower pro - series | model |||| mobile motor starter - product_type | type,product type,,application | motor type | use,brand | manufacturer | model | series | type
l&t three phase motor starter,4,2,9,7,4,3,44.4%,50.0%,l&t - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,l&t - brand | manufacturer |||| three phase - phase | phase_type |||| motor starter - product_type | category | type,brand | manufacturer | phase | product type,l&t | three phase,application | company | motor type | supply phase | use,category | phase type | type
laxmi 3 hp singal fase motors,4,1,5,7,2,4,80.0%,50.0%,motor - motor_type | product_type |||| 3 hp - power | horsepower | hp,laxmi - brand |||| 3 hp - horsepower | power | hp |||| singal fase - phase | phase_type |||| motors - motor_type,horsepower | hp | motor type | power,3 hp,product type,brand | phase | phase type
leadshine l7 series servo ac servo motor,1,0,4,5,2,3,25.0%,0.0%,servo motor - motor_type | product_type |||| ac - current_type | supply_type,leadshine - brand |||| l7 series - series | model_series |||| ac servo motor - motor_type | servo,motor type,,current type | product type | supply type,brand | model series | series | servo
lift-motor,3,1,4,3,2,2,75.0%,50.0%,motor - motor_type | product_type |||| elevator - application | use,lift - application | use |||| motor - motor_type,application | motor type | use,motor,product type,
lifting-column-actuator,0,0,4,3,2,1,0.0%,0.0%,elevator - application | use |||| actuator - application | use |||| actuator - product_category | category,lifting-column-actuator - product_type | actuator_type | type,,,application | category | product category | use,actuator type | product type | type
linear 1 festo actuators,0,0,4,6,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,festo - brand | manufacturer |||| linear actuators - product_type | type |||| 1 - quantity | count,,,application | category | product category | use,brand | count | manufacturer | product type | quantity | type
linear actuator control board,1,0,4,4,1,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,control board - product_type | type |||| linear actuator - application | compatibility,application,,category | product category | use,compatibility | product type | type
linear actuator purlin,0,0,4,4,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,linear actuator - product_type | actuator_type |||| purlin - brand | manufacturer,,,application | category | product category | use,actuator type | brand | manufacturer | product type
linear-actuators,1,0,4,3,1,1,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,linear-actuators - product_type | type | category,category,,application | product category | use,product type | type
ll braider soft starer,0,0,4,5,2,2,0.0%,0.0%,textile - application | use |||| starter - application | use |||| starter - product_category | category,ll braider - brand | manufacturer |||| soft starer - product_type | starter_type | device,,,application | category | product category | use,brand | device | manufacturer | product type | starter type
lt mk1 dol motor starter,2,0,4,8,2,4,50.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,lt - brand | manufacturer |||| mk1 - model | series |||| dol - starter_type | type |||| motor starter - application | product_type,application | product type,,motor type | use,brand | manufacturer | model | series | starter type | type
lubi three phase induction motors,4,2,7,6,3,3,57.1%,66.7%,lubi - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| three phase - phase | supply_phase,lubi - brand | manufacturer |||| three phase - phase | phase_type |||| induction motors - motor_type | type,brand | manufacturer | motor type | phase,lubi | three phase,company | product type | supply phase,phase type | type
m9mz90g4yga panasonic gear motor /90watt/ three phase,6,3,9,10,4,5,66.7%,75.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type |||| 90 w - power | wattage |||| three phase - phase | supply_phase,panasonic - brand | manufacturer |||| m9mz90g4yga - model_number | part_number |||| gear motor - motor_type | type |||| 90watt - power | wattage |||| three phase - phase | phase_type,brand | manufacturer | motor type | phase | power | wattage,gear motor | panasonic | three phase,company | product type | supply phase,model number | part number | phase type | type
macwel brand motor,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,macwel - brand | manufacturer | company |||| motor - product_type,product type,motor,motor type,brand | company | manufacturer
macwell brand motor,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,macwell - brand | manufacturer | company |||| motor - motor_type,motor type,motor,product type,brand | company | manufacturer
makita mt240 cb203a cut off carbon brush,2,0,7,9,3,5,28.6%,0.0%,mak - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,makita - brand |||| mt240 - model | tool_model |||| cb203a - part_number | model_number |||| cut off - application | tool_type |||| carbon brush - product_type | part_type,application | brand,,category | company | manufacturer | product category | use,model | model number | part number | part type | product type | tool model | tool type
mgm brake motors,2,0,2,5,1,2,100.0%,0.0%,brake motor - motor_type | product_type,mgm - brand | manufacturer |||| brake motors - product_type | motor_type | type,motor type | product type,,,brand | manufacturer | type
mig pmdc motor 24v 42v,2,2,4,5,3,4,50.0%,66.7%,dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| 42v - voltage | supply_voltage,mig - brand |||| pmdc motor - motor_type | type |||| 24v - voltage | volt |||| 42v - voltage | volt,motor type | voltage,24v | 42v,product type | supply voltage,brand | type | volt
mil 37 38 diaphragm actuators,0,0,4,6,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,mil - brand | manufacturer |||| 37 38 - model | series |||| diaphragm actuators - product_type | actuator_type,,,application | category | product category | use,actuator type | brand | manufacturer | model | product type | series
mini motors,1,0,2,3,1,2,50.0%,0.0%,motor - motor_type | product_type,mini - size | form_factor |||| motors - product_type,product type,,motor type,form factor | size
mixer-grinder-motor,3,1,4,3,2,2,75.0%,50.0%,motor - motor_type | product_type |||| mixer - application | use,mixer grinder - application | use |||| motor - motor_type,application | motor type | use,motor,product type,
motor for toto,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,toto - application | compatible_brand | for_brand |||| motor - product_type,product type,motor,motor type,application | compatible brand | for brand
motor panvel,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,motor - product_type | category |||| panvel - location | city,product type,motor,motor type,category | city | location
motor protection cover,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,motor protection cover - product_type | category | item_name,product type,,motor type,category | item name
motor starter controller,1,0,4,3,2,1,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motor starter controller - product_type | category | type,product type,,application | motor type | use,category | type
