Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
bell crack assembly,0,0,2,1,1,1,0.0%,0.0%,housing - product_category | category,bell - brand,,,category | product category,brand
bft deimos bt a600 gate motor,0,0,2,3,1,3,0.0%,0.0%,motor - motor_type | product_type,bft - brand |||| deimos bt a600 - model number |||| gate motor - usage,,,motor type | product type,brand | model number | usage
bhavani induction motor,1,0,2,2,1,2,50.0%,0.0%,induction motor - motor_type | product_type,bhavani - brand |||| induction - motor type,motor type,,product type,brand
bldc 50w 24v 3000rpm,4,1,9,4,4,4,44.4%,25.0%,bldc motor - motor_type | product_type |||| 50 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,24v - voltage |||| 3000rpm - speed |||| 50w - power |||| bldc - motor type,motor type | power | speed | voltage,24v,product type | rated speed | rpm | supply voltage | wattage,
bldc motor,1,0,2,2,2,2,50.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,bldc - motor type |||| motor - part type,motor type,,product type,part type
blower motors in port blair,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
blower-motors,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
bolero ac motor,0,1,4,1,2,1,0.0%,50.0%,ac motor - motor_type | product_type |||| ac - current_type | supply_type,ac - type,,ac,current type | motor type | product type | supply type,type
bonfiglioli brake motor,2,1,5,2,2,2,40.0%,50.0%,bonfiglioli - brand | manufacturer | company |||| brake motor - motor_type | product_type,bonfiglioli - brand |||| brake - motor type,brand | motor type,bonfiglioli,company | manufacturer | product type,
bonfiglioli riduttori motor be71-b4 230/400-50 ip55 clf b5,1,2,9,3,4,3,11.1%,50.0%,bonfiglioli - brand | manufacturer | company |||| motor - motor_type | product_type |||| b5 flange mount - mounting_type | mounting |||| ip55 - enclosure | protection,be71-b4 - model |||| bonfiglioli - brand |||| ip55 - ip rating,brand,bonfiglioli | ip55,company | enclosure | manufacturer | motor type | mounting | mounting type | product type | protection,ip rating | model
boparai auto switch pro,0,0,2,2,1,2,0.0%,0.0%,switch - product_category | category,boparai - brand |||| pro - model name/number,,,category | product category,brand | model name/number
borewell 2h starter,0,0,4,1,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,borewell - usage,,,application | category | product category | use,usage
brake motor,0,0,2,1,1,1,0.0%,0.0%,brake motor - motor_type | product_type,motor - part type,,,motor type | product type,part type
brush for electronics,0,0,2,1,1,1,0.0%,0.0%,brush - product_category | category,electronics - usage,,,category | product category,usage
brushless dc motor,1,1,4,1,3,1,25.0%,33.3%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,2,2,11,4,5,4,18.2%,40.0%,fan motor - motor_type | product_type |||| 1330 rpm - speed | rpm | rated_speed |||| ac - current_type | supply_type |||| fan - application | use |||| dual shaft - shaft_type | shaft,1330 rpm - speed |||| bus - usage |||| dual shaft - shaft type |||| motor - part type,shaft type | speed,1330 rpm | dual shaft,application | current type | motor type | product type | rated speed | rpm | shaft | supply type | use,part type | usage
c 10 micro 2900 bldc moter,1,0,2,2,2,2,50.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,bldc - motor type |||| c 10 micro 2900 - model name/number,motor type,,product type,model name/number
c&s dol starter 15hp,1,0,7,3,2,3,14.3%,0.0%,15 hp - power | horsepower | hp |||| starter - application | use |||| starter - product_category | category,15hp - power |||| c&s - brand |||| dol - starter type,power,,application | category | horsepower | hp | product category | use,brand | starter type
c&s dol starter 15hp near delhi,1,0,7,3,2,3,14.3%,0.0%,15 hp - power | horsepower | hp |||| starter - application | use |||| starter - product_category | category,15hp - power |||| c&s - brand |||| dol - starter type,power,,application | category | horsepower | hp | product category | use,brand | starter type
carbon brush size: 08 x 20 x 30mm,0,0,4,2,2,2,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,08 x 20 x 30mm - size |||| carbon brush - type,,,application | category | product category | use,size | type
cast iron general,0,0,0,1,0,1,N/A,N/A,,cast iron - material,,,,material
cg cooler motor,1,1,7,2,3,2,14.3%,33.3%,cg power - brand | manufacturer | company |||| cooler motor - motor_type | product_type |||| cooler - application | use,cg - brand |||| cooler motor - usage,brand,cooler motor,application | company | manufacturer | motor type | product type | use,usage
cooler hee motor,0,2,4,2,2,2,0.0%,100.0%,motor - motor_type | product_type |||| cooler - application | use,cooler - usage |||| motor - part type,,cooler | motor,application | motor type | product type | use,part type | usage
cooler kit motor,0,2,4,2,2,2,0.0%,100.0%,motor - motor_type | product_type |||| cooler - application | use,cooler - usage |||| motor - part type,,cooler | motor,application | motor type | product type | use,part type | usage
cooler motor high speed,0,1,4,2,2,2,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage |||| high speed - speed,,cooler motor,application | motor type | product type | use,speed | usage
copper sewing machine motor armature,0,0,2,3,1,3,0.0%,0.0%,motor - motor_type | product_type,armature - motor part type |||| copper - material type |||| sewing machine - usage,,,motor type | product type,material type | motor part type | usage
crompton 10 hp motor,2,3,8,3,3,3,25.0%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10 hp - power |||| crompton - brand |||| motor - part type,brand | power,10 hp | crompton | motor,company | horsepower | hp | manufacturer | motor type | product type,part type
crompton 3 phase motor 7.5 hp i3,2,2,10,4,4,4,20.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 7.5 hp - power | horsepower | hp |||| three phase - phase | supply_phase,3 phase - no of phase |||| 7.5 hp - power |||| crompton - brand |||| i3 - processor,brand | power,7.5 hp | crompton,company | horsepower | hp | manufacturer | motor type | phase | product type | supply phase,no of phase | processor
crompton greaves energy efficient motor,1,0,5,1,2,1,20.0%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand,brand,,company | manufacturer | motor type | product type,
crompton greaves induction motor,2,1,5,2,2,2,40.0%,50.0%,crompton greaves - brand | manufacturer | company |||| induction motor - motor_type | product_type,crompton - brand |||| induction motor - motor type,brand | motor type,induction motor,company | manufacturer | product type,
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,6,3,17,6,7,6,35.3%,42.9%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 5 hp - power | horsepower | hp |||| 3.70 kw - power | kilowatt | wattage |||| three phase - phase | supply_phase |||| 1450 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,1450 rpm - speed |||| 3 phase - phase |||| 3.70 kw - power |||| 5 hp - horsepower |||| crompton - brand |||| foot - mounting type,brand | horsepower | mounting type | phase | power | speed,1450 rpm | 3.70 kw | 5 hp,company | hp | kilowatt | manufacturer | motor type | mounting | product type | rated speed | rpm | supply phase | wattage,
crompton greaves motor kv ka motor dikhlayiye,1,0,5,1,2,1,20.0%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand,brand,,company | manufacturer | motor type | product type,
crompton greaves motors 20 hp 3 phase,2,1,10,2,4,2,20.0%,25.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 20 hp - power | horsepower | hp |||| three phase - phase | supply_phase,20 hp - power |||| crompton - brand,brand | power,20 hp,company | horsepower | hp | manufacturer | motor type | phase | product type | supply phase,
crompton greaves vfdc,1,0,3,1,1,1,33.3%,0.0%,crompton greaves - brand | manufacturer | company,crompton - brand,brand,,company | manufacturer,
crompton motor,1,2,5,2,2,2,20.0%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand |||| motor - part type,brand,crompton | motor,company | manufacturer | motor type | product type,part type
crompton motor 1 hp,2,3,8,3,3,3,25.0%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - power |||| crompton - brand |||| motor - part type,brand | power,1 hp | crompton | motor,company | horsepower | hp | manufacturer | motor type | product type,part type
crompton motor near tinsukia 1 hp,2,2,8,2,3,2,25.0%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - power |||| crompton - brand,brand | power,1 hp | crompton,company | horsepower | hp | manufacturer | motor type | product type,
crompton motors 20 hp 3 phase 960 rpm,4,3,13,4,5,4,30.8%,60.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 20 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 960 rpm - speed | rpm | rated_speed,20 hp - power |||| 3 phase - phase |||| 960 rpm - speed |||| crompton - brand,brand | phase | power | speed,20 hp | 960 rpm | crompton,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm | supply phase,
crompton motors 20 hp 3 phase near khair 960 rpm,4,3,13,4,5,4,30.8%,60.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 20 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 960 rpm - speed | rpm | rated_speed,20 hp - power |||| 3 phase - phase |||| 960 rpm - speed |||| crompton - brand,brand | phase | power | speed,20 hp | 960 rpm | crompton,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm | supply phase,
crompton motors crompton motor 5 hp single phase,2,3,10,3,4,3,20.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 5 hp - power | horsepower | hp |||| single phase - phase | supply_phase,5 hp - power |||| crompton - brand |||| single phase - no of phase,brand | power,5 hp | crompton | single phase,company | horsepower | hp | manufacturer | motor type | phase | product type | supply phase,no of phase
crompton motors crompton motor 5 hp single phase near patna,3,3,10,3,4,3,30.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 5 hp - power | horsepower | hp |||| single phase - phase | supply_phase,5 hp - power |||| crompton - brand |||| single phase - phase,brand | phase | power,5 hp | crompton | single phase,company | horsepower | hp | manufacturer | motor type | product type | supply phase,
crompton single phase cooler motor,2,3,9,3,4,3,22.2%,75.0%,crompton - brand | manufacturer | company |||| cooler motor - motor_type | product_type |||| single phase - phase | supply_phase |||| cooler - application | use,cooler motor - usage |||| crompton - brand |||| single phase - phase,brand | phase,cooler motor | crompton | single phase,application | company | manufacturer | motor type | product type | supply phase | use,usage
crompton-greaves-industrial-motors,0,0,5,0,2,0,0.0%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,,,,brand | company | manufacturer | motor type | product type,
crompton-motors,0,0,5,0,2,0,0.0%,0.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type,,,,brand | company | manufacturer | motor type | product type,
danfoss original brand new h1b80/h1b110 motor,2,2,7,3,3,3,28.6%,66.7%,danfoss - brand | manufacturer | company |||| motor - motor_type | product_type |||| new - condition | product_condition,danfoss - brand |||| h1b80/h1b110 - model name/number |||| new - condition,brand | condition,danfoss | new,company | manufacturer | motor type | product condition | product type,model name/number
dc 12v gear motor,2,2,6,2,3,2,33.3%,66.7%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12v - voltage |||| dc - motor type,motor type | voltage,12v | dc,current type | product type | supply type | supply voltage,
dc brake motors in mumbai,1,0,4,2,2,2,25.0%,0.0%,brake motor - motor_type | product_type |||| dc - current_type | supply_type,dc brake - motor type |||| mumbai - place of origin,motor type,,current type | product type | supply type,place of origin
dc fan motor 15 20 watt,2,2,8,3,4,3,25.0%,50.0%,fan motor - motor_type | product_type |||| 20 w - power | wattage |||| dc - current_type | supply_type |||| fan - application | use,20 watt - power |||| dc - motor type |||| fan - usage,motor type | power,dc | fan,application | current type | product type | supply type | use | wattage,usage
dc motor 8 watt,2,1,6,2,3,2,33.3%,33.3%,dc motor - motor_type | product_type |||| 8 w - power | wattage |||| dc - current_type | supply_type,8 watt - power |||| dc - motor type,motor type | power,dc,current type | product type | supply type | wattage,
dc motor bush,1,1,4,2,2,2,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,bush - motor part type |||| dc - motor type,motor type,dc,current type | product type | supply type,motor part type
dc motors,1,1,4,1,2,1,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
dc ware,0,0,2,0,1,0,0.0%,0.0%,dc - current_type | supply_type,,,,current type | supply type,
dc-geared-motor,1,0,4,1,2,1,25.0%,0.0%,gear motor - motor_type | product_type |||| dc - current_type | supply_type,dc-geared-motor - motor type,motor type,,current type | product type | supply type,
dc-motor-spare,0,0,4,0,2,0,0.0%,0.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,,,,current type | motor type | product type | supply type,
deep electricals vibrator motor,0,1,2,2,1,2,0.0%,100.0%,vibrator motor - motor_type | product_type,deep electricals - brand |||| vibrator motor - product,,vibrator motor,motor type | product type,brand | product
deep vibrator motor,0,1,2,1,1,1,0.0%,100.0%,vibrator motor - motor_type | product_type,vibrator motor - product,,vibrator motor,motor type | product type,product
desert cooler motor,0,1,4,3,2,3,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler - usage |||| desert - cooler type |||| motor - part type,,cooler,application | motor type | product type | use,cooler type | part type | usage
desert type aluminum 32 mm 1 inch kit cooler motor,0,1,4,5,2,5,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,1 inch - size |||| aluminum - winding material |||| cooler - usage |||| desert - cooler type |||| motor - part type,,cooler,application | motor type | product type | use,cooler type | part type | size | usage | winding material
desert type copper 32 mm 1 cooler motor,0,1,4,5,2,5,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,32 mm - shaft thickness |||| cooler - usage |||| copper - winding material |||| desert - cooler type |||| motor - part type,,cooler,application | motor type | product type | use,cooler type | part type | shaft thickness | usage | winding material
dg geared motor,0,0,2,1,1,1,0.0%,0.0%,gear motor - motor_type | product_type,motor - part type,,,motor type | product type,part type
digital dol starter,0,0,4,2,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,digital - display type |||| dol - starter type,,,application | category | product category | use,display type | starter type
dol starter,0,1,4,2,1,2,0.0%,100.0%,starter - application | use |||| starter - product_category | category,dol - starter type |||| starter - feeder type,,starter,application | category | product category | use,feeder type | starter type
dol-starter,0,0,4,1,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,dol-starter - starter type,,,application | category | product category | use,starter type
door-motor,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
double shaft encoder gear motor,2,1,4,2,2,2,50.0%,50.0%,gear motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,double shaft - shaft type |||| gear motor - motor type,motor type | shaft type,gear motor,product type | shaft,
double shaft gear motor,1,1,4,1,2,1,25.0%,50.0%,gear motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,gear motor - motor type,motor type,gear motor,product type | shaft | shaft type,
drondch motor,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
dual shaft 1300RPM BLOWER FAN MOTOR,2,1,9,4,4,4,22.2%,25.0%,fan motor - motor_type | product_type |||| 1300 rpm - speed | rpm | rated_speed |||| fan - application | use |||| dual shaft - shaft_type | shaft,1300rpm - speed |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,shaft type | speed,dual shaft,application | motor type | product type | rated speed | rpm | shaft | use,part type | usage
dual shaft 1330 RPM BLOWER FAN MOTOR,2,2,9,4,4,4,22.2%,50.0%,fan motor - motor_type | product_type |||| 1330 rpm - speed | rpm | rated_speed |||| fan - application | use |||| dual shaft - shaft_type | shaft,1330 rpm - speed |||| blower fan - usage |||| dual shaft - shaft type |||| motor - part type,shaft type | speed,1330 rpm | dual shaft,application | motor type | product type | rated speed | rpm | shaft | use,part type | usage
dual shaft FAN MOTOR,1,2,6,2,3,2,16.7%,66.7%,fan motor - motor_type | product_type |||| fan - application | use |||| dual shaft - shaft_type | shaft,dual shaft - shaft type |||| fan - usage,shaft type,dual shaft | fan,application | motor type | product type | shaft | use,usage
dual shaft blower fan motor,1,1,6,2,3,2,16.7%,33.3%,fan motor - motor_type | product_type |||| fan - application | use |||| dual shaft - shaft_type | shaft,dual shaft - shaft type |||| motor - part type,shaft type,dual shaft,application | motor type | product type | shaft | use,part type
dvd motor,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
dwe4235 armature near udaipur,0,1,2,2,1,2,0.0%,100.0%,armature - product_category | category,armature - type of power tool |||| dwe4235 - model number,,armature,category | product category,model number | type of power tool
e42 90w 2850/3450rpm motor single phase,3,1,9,4,4,4,33.3%,25.0%,motor - motor_type | product_type |||| 90 w - power | wattage |||| single phase - phase | supply_phase |||| 3450 rpm - speed | rpm | rated_speed,2850/3450rpm - speed |||| 90w - power |||| e42 - model name/number |||| single phase - phase,phase | power | speed,single phase,motor type | product type | rated speed | rpm | supply phase | wattage,model name/number
ecma-ca1010ss delta servo motor,1,2,5,3,2,3,20.0%,100.0%,delta - brand | manufacturer | company |||| servo motor - motor_type | product_type,delta - brand |||| ecma-ca1010ss - model name/number |||| servo motor - product,brand,delta | servo motor,company | manufacturer | motor type | product type,model name/number | product
el%20tech%20motors,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,el%20tech%20motors - model number,,,motor type | product type,model number
electric gate motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,electric - power source |||| gate - usage,,,motor type | product type,power source | usage
electric motorized actuator,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric - power source |||| motorized - actuator type,,,application | category | product category | use,actuator type | power source
electric torque,0,0,0,1,0,1,N/A,N/A,,electric - power source,,,,power source
electric-actuator,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric-actuator - power source,,,application | category | product category | use,power source
electrical motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,electrical - power source |||| motor - part type,,motor,motor type | product type,part type | power source
electrical motor for boats,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,boats - usage |||| electrical - power source,,,motor type | product type,power source | usage
electronic components bo moters,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,bo moters - type |||| electronic components - usage,,,motor type | product type,type | usage
electronic-starter,0,0,4,1,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,electronic-starter - power source,,,application | category | product category | use,power source
eletical motors 40hp,1,0,5,1,2,1,20.0%,0.0%,motor - motor_type | product_type |||| 40 hp - power | horsepower | hp,40hp - power,power,,horsepower | hp | motor type | product type,
external motor rotor die casting,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,die casting - casting method |||| motor - usage,,motor,motor type | product type,casting method | usage
extra power breaker 1 power tool armature,0,1,2,1,2,1,0.0%,50.0%,armature - product_category | category |||| power tool - product_category | category,armature - motor part type,,armature,category | product category,motor part type
fan motor 25 30 watt,1,1,6,2,3,2,16.7%,33.3%,fan motor - motor_type | product_type |||| 30 w - power | wattage |||| fan - application | use,30 watt - power |||| fan - usage,power,fan,application | motor type | product type | use | wattage,usage
fan-motors,0,0,4,0,2,0,0.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,,,,application | motor type | product type | use,
fcma soft starter,0,0,4,1,1,1,0.0%,0.0%,starter - application | use |||| starter - product_category | category,soft starter - starter type,,,application | category | product category | use,starter type
fdhhdfh,0,0,0,0,0,0,N/A,N/A,,,,,,
fhp motors,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,fhp - brand,,,motor type | product type,brand
fireproof motor,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
flange type 25 hp motor,1,1,5,2,2,2,20.0%,50.0%,motor - motor_type | product_type |||| 25 hp - power | horsepower | hp,25 hp - power |||| flange - mounting type,power,25 hp,horsepower | hp | motor type | product type,mounting type
fn20c motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,fn20c - model name/number |||| motor - part type,,motor,motor type | product type,model name/number | part type
foot cum flange mounted electric motor,1,0,4,2,2,2,25.0%,0.0%,motor - motor_type | product_type |||| flange mount - mounting_type | mounting,electric - power source |||| foot cum flange - mounting type,mounting type,,motor type | mounting | product type,power source
foot mounting 1 piece 1440 rpm Single Phase Motors,3,2,9,4,4,4,33.3%,50.0%,motor - motor_type | product_type |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,1 piece - set contains |||| 1440 rpm - speed |||| foot - mounting type |||| single phase - phase,mounting type | phase | speed,1440 rpm | single phase,motor type | mounting | product type | rated speed | rpm | supply phase,set contains
fv5029 010,0,0,0,1,0,1,N/A,N/A,,fv5029 - model name/number,,,,model name/number
gbru 1 min auto switch,0,0,2,1,1,1,0.0%,0.0%,switch - product_category | category,1 min - duration,,,category | product category,duration
geared motor,0,0,5,1,2,1,0.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,motor - part type,,,brand | company | manufacturer | motor type | product type,part type
geared motors,0,0,5,0,2,0,0.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,,,,brand | company | manufacturer | motor type | product type,
gearmoter,0,0,3,0,1,0,0.0%,0.0%,ge - brand | manufacturer | company,,,,brand | company | manufacturer,
gec 10 hp 960 rpm industrial motors,3,2,11,4,4,4,27.3%,50.0%,ge - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,10 hp - power |||| 960 rpm - speed |||| gec - brand |||| industrial motors - product,brand | power | speed,10 hp | 960 rpm,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm,product
general electric sfk01,1,1,3,2,1,2,33.3%,100.0%,general electric - brand | manufacturer | company,general electric - brand |||| sfk01 - model name/number,brand,general electric,company | manufacturer,model name/number
godrej lawkim motor lk 4250,1,0,5,2,2,2,20.0%,0.0%,godrej lawkim - brand | manufacturer | company |||| motor - motor_type | product_type,godrej - brand |||| lk 4250 - model name/number,brand,,company | manufacturer | motor type | product type,model name/number
gpn gear motor,1,1,2,1,1,1,50.0%,100.0%,gear motor - motor_type | product_type,gear motor - motor type,motor type,gear motor,product type,
grinding-motor,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
gsm mobile starter,0,0,4,0,1,0,0.0%,0.0%,starter - application | use |||| starter - product_category | category,,,,application | category | product category | use,
happymodel motor,0,1,5,1,1,1,0.0%,100.0%,motor - motor_type | product_type |||| motor - model_number | part_number | model,motor - part type,,motor,model | model number | motor type | part number | product type,part type
havells motor,1,2,5,2,2,2,20.0%,100.0%,havells - brand | manufacturer | company |||| motor - motor_type | product_type,havells - brand |||| motor - part type,brand,havells | motor,company | manufacturer | motor type | product type,part type
havells single phase motor,2,3,7,3,3,3,28.6%,100.0%,havells - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,havells - brand |||| motor - part type |||| single phase - phase,brand | phase,havells | motor | single phase,company | manufacturer | motor type | product type | supply phase,part type
helical gear motor,1,0,2,1,1,1,50.0%,0.0%,gear motor - motor_type | product_type,helical - motor type,motor type,,product type,
helical geared motor 2hp,2,0,5,2,2,2,40.0%,0.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2hp - power |||| helical - motor type,motor type | power,,horsepower | hp | product type,
helical geared motor 2hp near hyderabad,2,0,5,2,2,2,40.0%,0.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2hp - power |||| helical - motor type,motor type | power,,horsepower | hp | product type,
helical-geared-motor,0,0,2,1,1,1,0.0%,0.0%,gear motor - motor_type | product_type,helical-geared-motor - gear type,,,motor type | product type,gear type
high power dc motors,1,1,4,1,2,1,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
high power dc water motors for project near badlapur,1,1,4,1,2,1,25.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
high power dc water motors project,1,1,4,1,2,1,25.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
high power mini dc water motors for project near badlapur,1,1,4,1,2,1,25.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
high power mini dc water motors project,1,1,4,1,2,1,25.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
hindustan,1,1,3,1,1,1,33.3%,100.0%,hindustan - brand | manufacturer | company,hindustan - brand,brand,hindustan,company | manufacturer,
hindustan ac motor,1,2,7,2,3,2,14.3%,66.7%,hindustan - brand | manufacturer | company |||| ac motor - motor_type | product_type |||| ac - current_type | supply_type,ac - type |||| hindustan - brand,brand,ac | hindustan,company | current type | manufacturer | motor type | product type | supply type,type
hindustan package,0,1,3,2,1,2,0.0%,100.0%,hindustan - brand | manufacturer | company,hindustan - destination location |||| package - body type,,hindustan,brand | company | manufacturer,body type | destination location
hollow shaft encoder,0,1,4,1,2,1,0.0%,50.0%,hollow shaft - shaft_type | shaft |||| encoder - product_category | category,hollow shaft - encoder type,,hollow shaft,category | product category | shaft | shaft type,encoder type
horse power,0,0,2,1,1,1,0.0%,0.0%,horse power - power_unit | unit,horse - animal breed,,,power unit | unit,animal breed
hyundai/kia clutch actuator,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,clutch actuator - actuator type,,,application | category | product category | use,actuator type
incubator turning motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,incubator - usage |||| turning motor - type,,,motor type | product type,type | usage
induction motor,1,0,2,1,1,1,50.0%,0.0%,induction motor - motor_type | product_type,induction - motor type,motor type,,product type,
industrial-electric-motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,industrial-electric-motor - usage,,,motor type | product type,usage
inline helical geared motors,0,0,2,0,1,0,0.0%,0.0%,gear motor - motor_type | product_type,,,,motor type | product type,
kapcon simi cooler motor,0,1,4,2,2,2,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage |||| kapcon - brand,,cooler motor,application | motor type | product type | use,brand | usage
kenstar desert air cooler motor,1,2,7,4,3,4,14.3%,66.7%,kenstar - brand | manufacturer | company |||| cooler motor - motor_type | product_type |||| cooler - application | use,cooler - usage |||| desert - cooler type |||| kenstar - brand |||| motor - part type,brand,cooler | kenstar,application | company | manufacturer | motor type | product type | use,cooler type | part type | usage
kirloskar 10 hp 1440 rpm original motor,3,3,11,3,4,3,27.3%,75.0%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed,10 hp - power |||| 1440 rpm - speed |||| kirloskar - brand,brand | power | speed,10 hp | 1440 rpm | kirloskar,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm,
